source,target,int,,,,,,,
MAP2K1,GSK3B,phosphorylation,,,,,,,
MAPK1,GSK3B,phosphorylation,,,,,,,
MAPK11,GSK3B,phosphorylation,,,,,,,
MAPK13,GSK3B,phosphorylation,,,,,,,
MAPK14,GSK3B,phosphorylation,,,,,,,
MAPK14,GSK3B,phosphorylation,,,,,,,
MAPK14,GSK3B,phosphorylation,,,,,,,
MAPK14,GSK3B,phosphorylation,,,,,,,
MAPK6,GSK3B,phosphorylation,,,,,,,
MAPK6,GSK3B,phosphorylation,,,,,,,
PPP3CA,GSK3B,dephosphorylation,,,,,,,
PPP3CB,GSK3B,dephosphorylation,,,,,,,
PPP3CC,GSK3B,dephosphorylation,,,,,,,
PRKACA,GSK3B,inhibition;,binding;,phosphorylation,,,,,
RPS6KA1,GSK3B,phosphorylation,,,,,,,
RPS6KB1,GSK3B,phosphorylation,,,,,,,
CSNK2A1:CSNK2A2:CSNK2B,HDAC1,phosphorylation,,,,,,,
MDM2,HDAC1,ubiquitination,,,,,,,
CSNK2A1:CSNK2A2:CSNK2B,HDAC3,phosphorylation,,,,,,,
PPP4C,HDAC3,dephosphorylation,,,,,,,
CUL2,HIF1A,ubiquitination,,,,,,,
HDAC3,HIPK2,deacetylation,,,,,,,
HDAC3,HIPK2,deacetylation,,,,,,,
HDAC3,HIPK2,deacetylation,,,,,,,
HDAC3,HIPK2,deacetylation,,,,,,,
HDAC3,HIPK2,deacetylation,,,,,,,
HDAC3,HIPK2,deacetylation,,,,,,,
MAP3K7,IKBKB,activation,,,,,,,
MAP3K7,IKBKB,phosphorylation,,,,,,,
PPM1A,IKBKB,dephosphorylation,,,,,,,
PPM1A,IKBKB,dephosphorylation,,,,,,,
IKBKB,IKBKG,phosphorylation,,,,,,,
PRKACA,IQGAP1,phosphorylation,,,,,,,
PRKACA,JAK3,phosphorylation,,,,,,,
ABL1,JUN,phosphorylation,,,,,,,
AKT1,JUN,phosphorylation,,,,,,,
AKT1,JUN,phosphorylation,,,,,,,
AKT1,JUN,phosphorylation,,,,,,,
AKT1,JUN,phosphorylation,,,,,,,
COPS2:COPS5,JUN,phosphorylation,,,,,,,
COPS5,JUN,unknown;,binding,,,,,,
CSNK2A1:CSNK2A2:CSNK2B,JUN,inhibition;,phosphorylation,,,,,,
EP300,JUN,acetylation,,,,,,,
GSK3B,JUN,phosphorylation,,,,,,,
GSK3B,JUN,phosphorylation,,,,,,,
GSK3B,JUN,phosphorylation,,,,,,,
GSK3B,JUN,phosphorylation,,,,,,,
GSK3B,JUN,phosphorylation,,,,,,,
GSK3B,JUN,phosphorylation,,,,,,,
GSK3B,JUN,phosphorylation,,,,,,,
GSK3B,JUN,phosphorylation,,,,,,,
HIF1A,JUN,increase,of,abundance,,,,,
MAP2K7,JUN,phosphorylation,,,,,,,
MAP2K7,JUN,phosphorylation,,,,,,,
MAP2K7,JUN,phosphorylation,,,,,,,
MAP2K7,JUN,phosphorylation,,,,,,,
MAP2K7,JUN,phosphorylation,,,,,,,
MAPK1,JUN,activation;,phosphorylation,,,,,,
MAPK1,JUN,phosphorylation,,,,,,,
MAPK1,JUN,phosphorylation,,,,,,,
MAPK11,JUN,phosphorylation,,,,,,,
MAPK13,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK14,JUN,phosphorylation,,,,,,,
MAPK8,JUN,phosphorylation,,,,,,,
MAPK8,JUN,phosphorylation,,,,,,,
MAPK8,JUN,phosphorylation,,,,,,,
MAPK8,JUN,phosphorylation,,,,,,,
MAPK8,JUN,phosphorylation,,,,,,,
MAPK9,JUN,phosphorylation,,,,,,,
MAPK9,JUN,phosphorylation,,,,,,,
MAPK9,JUN,phosphorylation,,,,,,,
MAPK9,JUN,phosphorylation,,,,,,,
PIAS1,JUN,sumoylation,,,,,,,
PIAS1,JUN,sumoylation,,,,,,,
PRPF4,JUN,phosphorylation,,,,,,,
PRPF4,JUN,phosphorylation,,,,,,,
MDM2,KAT2B,ubiquitination,,,,,,,
MDM2,KAT2B,binding;,ubiquitination,,,,,,
