"SUID","consensus_direction","consensus_inhibition","consensus_stimulation","interaction","is_directed","is_inhibition","is_stimulation","name","references","selected","shared interaction","shared name","source","sources","target"
"26668","1","0","1","interacts with","1","0","1","NFE2L2 (interacts with) GSTA1","16551619;16551619","false","interacts with","NFE2L2 (interacts with) GSTA1","Q16236","kegg;trrust","P08263"
"26669","1","0","1","interacts with","1","0","1","CTCF (interacts with) NFE2L2","22951020;22951020;22951020;22951020","false","interacts with","CTCF (interacts with) NFE2L2","P49711","PAZAR;hocomoco_v11;jaspar_v2018;oreganno","Q16236"
"26670","1","0","1","interacts with","1","0","1","FOXO1 (interacts with) CDKN1C","17609436;17609436","false","interacts with","FOXO1 (interacts with) CDKN1C","Q12778","ARACNe-GTEx;tfact","P49918"
"26671","1","1","0","interacts with","1","1","0","GATA4 (interacts with) ERBB2","19276186;19276186","false","interacts with","GATA4 (interacts with) ERBB2","P43694","HTRIdb;trrust","P04626"
"26672","1","1","0","interacts with","1","1","0","ETV4 (interacts with) ERBB2","15235125;10655108;17168666;16632435;15235125;10655108;17168666;16632435;15235125;10655108;17168666;16632435;15235125;10655108;17168666;16632435","false","interacts with","ETV4 (interacts with) ERBB2","P43268","ReMap;jaspar_v2018;tred_via_RegNetwork;trrust","P04626"
"26674","1","0","1","interacts with","1","0","1","HNF4A (interacts with) C1QTNF5","20621834;20621834","false","interacts with","HNF4A (interacts with) C1QTNF5","P41235","HTRIdb;trrust","Q9BXJ0"
"26675","1","1","0","interacts with","1","1","0","TP53 (interacts with) NOS2","11092782;11092782","false","interacts with","TP53 (interacts with) NOS2","P04637","tfact;tred_via_RegNetwork","P35228"
"26676","1","0","1","interacts with","1","0","1","KLF6 (interacts with) NOS2","12590140;12590140","false","interacts with","KLF6 (interacts with) NOS2","Q99612","HTRIdb;trrust","P35228"
"26677","1","0","1","interacts with","1","0","1","FOS (interacts with) NOS2","12788789;12788789","false","interacts with","FOS (interacts with) NOS2","P01100","PAZAR;trrust","P35228"
"26678","1","0","1","interacts with","1","0","1","FOSL2 (interacts with) NOS2","12788789;12788789","false","interacts with","FOSL2 (interacts with) NOS2","P15408","hocomoco_v11;trrust","P35228"
"26679","1","0","1","interacts with","1","0","1","RELA (interacts with) NOS2","15350552;18057724;17720813;17081374;15350552;18057724;17720813;17081374;15350552;18057724;17720813;17081374","false","interacts with","RELA (interacts with) NOS2","Q04206","kegg;tred_via_RegNetwork;trrust","P35228"
"26680","1","0","1","interacts with","1","0","1","JUN (interacts with) NOS2","12788789;12788789;12788789;12788789","false","interacts with","JUN (interacts with) NOS2","P05412","hocomoco_v11;jaspar_v2018;tred_via_RegNetwork;trrust","P35228"
