name apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
attr_190 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_191 1 1 1 0 0 0 X 0 0 1 0 1 0 0 0 0 0 0 0
attr_192 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_193 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_194 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_198 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_199 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_200 1 1 1 X 0 X X X 0 1 0 1 X 0 X 0 0 0 0
attr_201 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_205 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_206 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_208 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_210 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_211 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_212 1 1 1 0 0 0 X 0 0 1 0 1 0 0 0 0 0 0 0
attr_213 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_214 1 1 1 1 1 1 1 1 0 X 0 X 1 0 X 0 0 1 0
attr_215 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_216 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_217 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_218 1 1 1 1 1 1 1 1 0 0 0 X 1 0 X 0 0 X 0
attr_220 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_221 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_222 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_223 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_224 1 1 1 1 1 1 1 1 0 X 0 X 1 0 X 0 0 X 0
attr_227 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_229 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_230 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_233 1 1 1 X 0 X X X 0 1 0 1 X 0 X 0 0 0 0
attr_234 1 1 1 X 0 X X X 0 1 0 1 X 0 X 0 0 0 0
attr_235 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_236 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_237 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_238 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_239 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_240 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_242 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_243 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_244 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_246 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_249 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_250 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_251 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_252 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_254 1 1 1 1 1 1 1 1 0 X 0 X 1 0 X 0 0 1 0
attr_255 1 1 1 0 0 0 X 0 0 1 0 1 0 0 0 0 0 0 0
attr_256 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_257 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_258 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_260 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
