ID	Gene symbol ID
MO000086914	TGFA
MO000087031	TBP
MO000087040	CDK2
MO000087113	CDC27
MO000087123	CDC20
MO000087139	FZR1
MO000087141	FZR1
MO000087167	CDC20
MO000087170	FZR1
MO000087223	TBP
MO000087248	TBP
MO000087249	TBP
MO000087251	TBP
MO000087360	GRB2
MO000087361	SHC1
MO000087362	SHC1
MO000087415	TGFA
MO000087556	TBP
MO000087619	PTPN11
MO000087635	PTPN11
MO000087667	CDK2
MO000087709	TBP
MO000087781	TBP
MO000087840	TBP
MO000087858	CDK2
MO000087865	CDK2
MO000088471	GRB2
MO000088475	GRB2
MO000088569	CDK2
MO000088828	GRB2
MO000088922	SHC1
MO000088927	SHC1
MO000088980	GRB2
MO000089025	PML
MO000089034	PML
MO000089035	PML
MO000089201	HDAC1
MO000089418	TOP2A
MO000089425	TOP2A
MO000089426	TOP2A
MO000089435	TOP2A
MO000089437	TOP2A
MO000089445	TOP2A
MO000089625	HDAC1
MO000089701	SMAD2
MO000089993	GRB2
MO000090217	PML
MO000090311	SNRNP70
MO000090312	SNRNP70
MO000090314	SNRNP70
MO000090316	SNRNP70
MO000090346	HMGB2
MO000092276	PML
MO000092277	PML
MO000092279	PML
MO000092387	PML
MO000092397	AURKA
MO000092398	AURKA
MO000092399	AURKA
MO000092856	CDK2
MO000092858	CDK2
MO000093061	HDAC1
MO000093065	HDAC1
MO000093104	PML
MO000093268	PTTG1
MO000093743	HDAC1
MO000093916	HDAC1
MO000093919	PTPN11
MO000094277	GRB2
MO000094296	CDK2
MO000094497	CDK2
MO000094520	PTTG1
MO000094601	GRB2
MO000094699	HDAC1
MO000094725	GRB2
MO000094731	GRB2
MO000094915	HDAC1
MO000094935	HDAC1
MO000094942	HDAC1
MO000094945	HDAC1
MO000095114	HDAC1
MO000095123	BUB1
MO000095124	BUB1
MO000095383	MAD2L1
MO000095384	CDC20
MO000095611	CDC20,MAD2L1
MO000095634	HDAC1
MO000096048	HDAC1
MO000096063	HDAC1
MO000096172	CDC20
MO000096177	FZR1
MO000096178	CDC20
MO000096182	FZR1
MO000096365	HDAC1
MO000096433	BUB1
MO000096476	BUB1
MO000096498	BUB1
MO000096501	BUB1
MO000096510	BUB1
MO000097303	SKIL
MO000097587	GRB2
MO000097761	SHC1
MO000097948	BUB1
MO000097949	BUB1
MO000097999	CDC20,MAD2L1
MO000098000	CDC20,MAD2L1
MO000098002	BUB1,CDC20,MAD2L1
MO000098008	BUB1
MO000098069	TBP
MO000098072	TBP
MO000098081	TBP
MO000098311	BUB1
MO000098383	HDAC1
MO000098445	CDC16,CDC27
MO000099105	MAD2L1
MO000099129	BUB1,MAD2L1
MO000099143	HDAC1
MO000099149	HDAC1
MO000099151	HDAC1
MO000099279	PTTG1
MO000099312	HDAC1
MO000100622	GRB2
MO000100645	HDAC1
MO000101772	TBP
MO000101809	TBP
MO000101811	TBP
MO000102037	GRB2
MO000102193	PTPN11
MO000102194	PTPN11
MO000102196	PTPN11
MO000102266	HDAC1
MO000102279	SHC1
MO000102286	HDAC1
MO000102457	PRKACA
MO000102458	PRKACA
MO000102459	PRKACA
MO000102541	AURKA,BUB1,CDK2,PRKACA,SRPK1,TEC
MO000102544	PTPN11
MO000102547	YWHAG
MO000102548	YWHAG
MO000102549	YWHAG
MO000102550	YWHAG
MO000102552	YWHAG
MO000102562	GRB2
MO000102637	SMAD2
MO000102748	SMAD2
MO000102939	PTPN11
MO000103038	SHC1
MO000103118	SOCS5
MO000103120	SOCS5
MO000103238	TEC
MO000103250	TEC
MO000103388	PTTG1
MO000103436	TEC
MO000103503	PTTG1
MO000103644	CDC20
MO000103647	BUB1
MO000103654	FZR1
MO000103675	CDC20
MO000103679	FZR1
MO000103681	FZR1
MO000103729	SHC1
MO000103751	SOCS5
MO000103973	PTPN11
MO000103995	SHC1
MO000104131	GRB2
MO000104136	ANAPC10,CDC16,CDC27,FZR1
MO000104660	PTTG1
MO000104680	FZR1,PTTG1
MO000104682	CDC27,PTTG1
MO000104684	CDC27
MO000105692	CDC27
MO000105698	FZR1
MO000105713	CDC16,CDC27
MO000105720	CDC27
MO000105743	FZR1
MO000105798	CDC27
MO000106050	CDC27
MO000106051	CDC20
MO000106052	FZR1
MO000106061	FZR1
MO000106062	CDC20
MO000106628	FZR1
MO000106905	CDC27
MO000107545	CDC20
MO000107547	CDC20
MO000107578	FZR1
MO000107737	BUB1
MO000107919	CDC16,FZR1
MO000108058	SHC1
MO000108060	SHC1
MO000108061	SHC1
MO000108064	SHC1
MO000108069	GRB2,SHC1
MO000108097	GRB2,SHC1
MO000108121	GRB2
MO000108182	ANAPC10,CDC16,CDC20,CDC27,MAD2L1
MO000108197	ANAPC10,CDC16,CDC20,CDC27,MAD2L1
MO000108205	ANAPC10,CDC16,CDC20,CDC27
MO000108277	ANAPC10,CDC16,CDC20,CDC27,MAD2L1
MO000108285	ANAPC10,CDC16,CDC20,CDC27,MAD2L1
MO000108289	ANAPC10,CDC16,CDC20,CDC27
MO000108408	PRKACA
MO000108425	PTPN11
MO000108505	PTTG1
MO000108597	AURKA
MO000108606	AURKA
MO000108615	AURKA
MO000108617	AURKA
MO000108726	MAD2L1
MO000108756	MAD2L1
MO000108759	CDC20,MAD2L1
MO000108760	CDC20,MAD2L1
