ID	Ensembl ID	Average Intensity	UniProt ID	Gene symbol ID
MO000132690	ENSG00000203879	2194.2146644946474	P31150	
MO000132691	ENSG00000203879	2194.2146644946474	P31150	
MO000132693	ENSG00000100804	1102.5910368369227	P28074	
MO000132694	ENSG00000100804	1102.5910368369227	P28074	
MO000132700	ENSG00000277791	1377.0187437571526	P49720	
MO000132701	ENSG00000108592	86.06451760529706	Q8IY81	
MO000132702	ENSG00000277791	1377.0187437571526	P49720	
MO000132703	ENSG00000108592	86.06451760529706	Q8IY81	
MO000132708	ENSG00000152795	1742.6719995293172	O14979	
MO000132717	ENSG00000010165	16.171000144839283	Q8N6R0	
MO000132722	ENSG00000111725	44.92339591905802	Q9Y478	
MO000132724	ENSG00000111725	44.92339591905802	Q9Y478	
MO000132732	ENSG00000149923	243.3343191471956	P60510	
MO000132736	ENSG00000166025	4.28339906112595	Q8IY63-2	
MO000132738	ENSG00000166025	4.28339906112595	Q8IY63-2	
MO000132739	ENSG00000064601	250.8771941933861	P10619	
MO000132740	ENSG00000166025	4.28339906112595	Q8IY63-2	
MO000132746	ENSG00000120265	1543.0404939834289	P22061-2	
MO000132748	ENSG00000120265	1543.0404939834289	P22061-2	
MO000132750	ENSG00000084652	170.75872567467587	P40222	
MO000132753	ENSG00000084652	170.75872567467587	P40222	
MO000132756	ENSG00000120265	1543.0404939834289	P22061-2	
MO000132759	ENSG00000096746	1063.742600292894	P31942	
MO000132761	ENSG00000096746	1063.742600292894	P31942	
MO000132762	ENSG00000100614	81.54126664409199	P35813	
MO000132766	ENSG00000137996	138.02067149578656	O00442	
MO000132771	ENSG00000165417	42.482881997207954	P52655	
MO000132775	ENSG00000107862	103.09139167097015	Q92538	
MO000132776	ENSG00000107862	103.09139167097015	Q92538	
MO000132783	ENSG00000165637	4392.959042488266	P45880-2	
MO000132786	ENSG00000165637	4392.959042488266	P45880-2	
MO000132791	ENSG00000143420	581.3889612396497	O43768-2	
MO000132794	ENSG00000000419	212.479765983144	O60762	
MO000132798	ENSG00000143420	581.3889612396497	O43768-2	
MO000132802	ENSG00000155363	17.18975528145738	Q9HCE1	
