ID	Ensembl ID	UniProt ID	Average Intensity
MO000134347	ENSG00000127481	Q5T4S7-3	58.74032373274029
MO000134348	ENSG00000127481	Q5T4S7-3	58.74032373274029
MO000134349	ENSG00000243910	Q9H853	16242.562687459113
MO000134356	ENSG00000115216	Q9UHY1	141.79959067990575
MO000134357	ENSG00000115216	Q9UHY1	141.79959067990575
MO000134358	ENSG00000155506	Q6PKG0,Q6PKG0-3	130.5915164583236
MO000134359	ENSG00000155506	Q6PKG0,Q6PKG0-3	130.5915164583236
MO000134361	ENSG00000196792	Q13033,Q13033-2	32.15309085396228
MO000134368	ENSG00000105576	O14787-2	212.30252474505556
MO000134376	ENSG00000183785	Q9NY65	28000.504862081336
MO000134387	ENSG00000086200	Q9UI26	14.215044250904509
MO000134389	ENSG00000086065	Q9NZZ3	400.20773243829893
MO000134391	ENSG00000133706	Q9P2J5	450.2724013887031
MO000134392	ENSG00000133706	Q9P2J5	450.2724013887031
MO000134395	ENSG00000239857	Q7L5D6	57.871072636994825
MO000134396	ENSG00000189091	Q15393	708.2486802710447
MO000134397	ENSG00000189091	Q15393	708.2486802710447
MO000134400	ENSG00000166595	Q9Y3D0	142.92372397206125
MO000134403	ENSG00000167977	Q9NXV2	5.631379317454239
MO000134412	ENSG00000173113	Q9UI30	628.0255508148184
MO000134413	ENSG00000173113	Q9UI30	628.0255508148184
MO000134421	ENSG00000120254	Q6UB35	125.42037720204613
MO000134424	ENSG00000095319	Q5SRE5	11.1954502552586
MO000134425	ENSG00000095319	Q5SRE5	11.1954502552586
MO000134431	ENSG00000123992	Q9ULA0	181.53696379182622
MO000134432	ENSG00000123992	Q9ULA0	181.53696379182622
MO000134439	ENSG00000130147	Q9P0V3	7.307995770307404
MO000134440	ENSG00000130147	Q9P0V3	7.307995770307404
MO000134448	ENSG00000145779	O95379	5.362084938792785
MO000134453	ENSG00000120254	Q6UB35	125.42037720204613
MO000134513	ENSG00000089597	Q14697-2	3230.4601974589295
MO000134516	ENSG00000089597	Q14697-2	3230.4601974589295
MO000134564	ENSG00000167601	P30530-2	182.58762877741006
MO000134573	ENSG00000113194	Q96CS3	200.1858597785882
MO000134574	ENSG00000113194	Q96CS3	200.1858597785882
MO000134580	ENSG00000100796	Q6IN85	65.5581593818452
MO000134581	ENSG00000132698	P57735	34.88002062503617
MO000134582	ENSG00000132698	P57735	34.88002062503617
MO000134584	ENSG00000144867	Q9Y5M8	206.89504300645484
