ID	UniProt ID	Average Intensity
ENSG00000133612	Q96P47	1.461852138571203
ENSG00000133641	Q8N999	6.710876727642985
ENSG00000133858	O60293-2	0.11291265922675628
ENSG00000133943	Q7Z3D6-2	8.407012206684422
ENSG00000134030	O43310-2	0.6097872245799169
ENSG00000134046	Q9UBB5	23.793298034651475
ENSG00000134184	P09488	114.9582862450159
ENSG00000134202	P21266	840.9196495896003
ENSG00000134318	O75116	47.77646474678508
ENSG00000134369	Q8NEY1-2,Q8NEY1-3	0.5364477728153504
ENSG00000134602	Q9P289	103.32357058006923
ENSG00000134686	Q8IXK0-2	48.85519419409905
ENSG00000134871	P08572	2.8081043499176674
ENSG00000135636	O75923-9	31.47195367720738
ENSG00000135766	Q9GZT9	22.093821460192693
ENSG00000135775	Q14746	3.5843685263924625
ENSG00000135842	Q9BZQ8	73.97307479139897
ENSG00000136167	P13796	319.80174843884896
ENSG00000136573	P51451	4.420479595708675
ENSG00000136710	Q96NT0	3.3961064726840435
ENSG00000136718	Q96G21	21.79372772750186
ENSG00000136813	Q5VYK3	182.96130403231223
ENSG00000136830	Q96TA1-2	1088.5239616355714
ENSG00000136872	P05062	2010.093850301802
ENSG00000136982	Q9BVC3	2.157030513046913
ENSG00000137177	Q9H1H9	4.524199744381386
ENSG00000137274	Q86WA6-2	8.477574705471957
ENSG00000137275	Q13546	68.67880442852857
ENSG00000137285	Q9BVA1	119538.1755231036
ENSG00000137288	Q9BRT2	56.767433487438055
ENSG00000137343	Q5SQI0-5	0.8397924391804789
ENSG00000137411	Q5ST30	112.95313061340161
ENSG00000137413	Q7Z7C8	20.100878621094083
ENSG00000137474	Q13402-5	1.0077576467996754
ENSG00000137486	P49407-2	11.095688075492612
ENSG00000137492	O43422	1.5631293224327165
ENSG00000137767	Q9Y6N5	260.7197871674723
ENSG00000137942	Q5T0N5-3	2.840392367571465
ENSG00000137948	Q58F21-5	1.6957602308847617
ENSG00000138190	Q8TAG9	1.0819691134455827
ENSG00000138382	Q9NRN9	35.03915785396126
ENSG00000138771	Q8TF72	1.8615146896273045
ENSG00000139223	O95626	209.92505516892624
ENSG00000139278	P48060	73.74352100947334
ENSG00000139637	Q9HB07	305.39063640140307
ENSG00000139641	Q9BSJ8,Q9BSJ8-2	528.5048123067575
ENSG00000139675	Q32P51	16619.420341745496
ENSG00000139684	P10768	441.6912614335628
ENSG00000139793	Q5VZF2-3	264.7400112925122
ENSG00000140416	P09493-3,P09493-4	1697.9011999479208
ENSG00000140598	Q7Z2Z2	10.95246530071058
ENSG00000140718	Q9C0B1	9.383849653377197
ENSG00000140795	Q32MK0-4	29.94087512767885
ENSG00000140950	Q6P9B6	117.64910926404764
ENSG00000140986	Q92901	346.02658926444377
ENSG00000141456	Q8IZL8	36.27752234157563
ENSG00000141570	Q9HC52	4.945733513843195
ENSG00000141577	Q9UPN4-2	2.0203870490095412
ENSG00000142002	Q86TI2	100.33196756089924
ENSG00000142347	O00160	5.481032543210263
