MO000112169, MO000019469, inactivates
MO000112169, MO000058322, inactivates
MO000083732, MO000057832, inactivates
MO000019867, MO000017421, inactivates
MO000019230, MO000293358, activates
MO000057832, MO000112169, activates
MO000082438, MO000096187, inactivates
MO000016977, MO000022403, activates
MO000034818, MO000022403, activates
MO000019548, MO000032652, activates
MO000293358, MO000017421, activates
MO000041170, MO000017421, activates
MO000020924, MO000016989, inactivates
MO000088314, MO000022448, activates
MO000032587, MO000031101, inactivates
MO000032587, MO000022403, inactivates
MO000089081, MO000096187, inactivates
MO000030998, MO000088968, inactivates
MO000256146, MO000088968, inactivates
MO000030859, MO000088968, inactivates
MO000098771, MO000042938, inactivates
MO000098770, MO000042938, inactivates
MO000098771, MO000102071, inactivates
MO000098770, MO000102071, inactivates
MO000009253, MO000030911, inactivates
MO000059566, MO000030900, activates
MO000021287, MO000056654, activates
MO000059566, MO000019973, inactivates
MO000020146, MO000021036, inactivates
MO000079234, MO000057745, inactivates
MO000324017, MO000019975, activates
MO000023365, MO000019975, activates
MO000023365, MO000079234, activates
MO000022229, MO000019469, inactivates
MO000193609, MO000030860, activates
MO000193609, MO000022208, activates
MO000004677, MO000019469, inactivates
MO000032352, MO000020270, inactivates
MO000084635, MO000017421, activates
MO000021287, MO000084645, activates
MO000017421, MO000041500, inactivates
MO000023365, MO000020615, activates
MO000018962, MO000088314, activates
MO000021754, MO000088314, activates
MO000019975, MO000088314, inactivates
MO000019975, MO000026496, inactivates
MO000028099, MO000332718, inactivates
MO000019975, MO000332718, inactivates
MO000332718, MO000028099, activates
MO000093578, MO000332718, inactivates
MO000019973, MO000332718, activates
MO000009339, MO000161481, inactivates
MO000041500, MO000058921, inactivates
MO000180297, MO000058921, inactivates
MO000180299, MO000058921, inactivates
MO000333495, MO000019973, activates
MO000093578, MO000019973, activates
MO000333495, MO000019973, inactivates
MO000096098, MO000019973, inactivates
MO000044267, MO000082690, inactivates
MO000082690, MO000036353, inactivates
MO000019973, MO000338489, activates
MO000338489, MO000026496, activates
MO000096098, MO000026496, activates
MO000096095, MO000338489, inactivates
MO000084645, MO000026496, inactivates
MO000019975, MO000017421, inactivates
MO000030911, MO000017421, inactivates
MO000079236, MO000017421, inactivates
MO000016989, MO000058322, inactivates
MO000088314, MO000019696, activates
MO000088314, MO000007830, activates
MO000088314, MO000058921, activates
MO000026496, MO000007830, activates
MO000026496, MO000019696, activates
MO000032481, MO000082438, inactivates
MO000022403, MO000023365, inactivates
MO000022403, MO000042938, inactivates
MO000022403, MO000102071, inactivates
MO000031101, MO000102071, inactivates
MO000004672, MO000045420, inactivates
MO000036039, MO000036416, activates
MO000023445, MO000004677, activates
MO000023445, MO000021743, activates
MO000023445, MO000021736, activates
MO000023447, MO000021743, activates
MO000022400, MO000021743, activates
MO000176198, MO000007821, activates
MO000176197, MO000007821, activates
MO000176197, MO000030998, activates
MO000176197, MO000033485, activates
MO000209230, MO000007821, inactivates
MO000030860, MO000030859, inactivates
MO000103285, MO000030859, activates
MO000103285, MO000031000, activates
MO000044885, MO000082438, activates
MO000021383, MO000019315, activates
MO000480307, MO000057832, activates
MO000145885, MO000057832, activates
MO000480307, MO000019780, activates
MO000480307, MO000057832, inactivates
MO000167512, MO000057832, inactivates
MO000167517, MO000017774, activates
MO000167517, MO000057832, inactivates
