ID	UniProt ID	average_intensity
ENSG00000065526	Q96T58	5.86
ENSG00000065548	Q8WU90	116.0
ENSG00000065559	P45985	1.66
ENSG00000065613	Q9H2G2,Q9H2G2-2	194.0
ENSG00000065618	Q9UMD9-2	1.25
ENSG00000065809	Q9H098	60.6
ENSG00000065833	P48163	158.0
ENSG00000065883	Q14004	2.28
ENSG00000065911	P13995	323.0
ENSG00000065978	P67809	3820.0
ENSG00000066027	Q15172	30.6
ENSG00000066032	P26232-2	98.4
ENSG00000066044	Q15717	1570.0
ENSG00000066084	Q9P265	43.5
ENSG00000066117	Q96GM5	19.6
ENSG00000066136	Q13952,Q13952-3	25.2
ENSG00000066322	Q9BW60	150.0
ENSG00000066379	Q9P1U0	3.94
ENSG00000066422	O95625	6.03
ENSG00000066455	Q8TBA6-2	13.2
ENSG00000066557	Q9H9A6	52.3
ENSG00000066583	Q96CN7	285.0
ENSG00000066651	Q7Z4G4	6.77
ENSG00000066654	Q9NXG2	74.3
ENSG00000066777	Q9Y6D6	18.1
ENSG00000066926	P22830	40.7
ENSG00000067057	Q01813	2450.0
ENSG00000067064	Q13907	311.0
ENSG00000067066	P23497-4	54.5
ENSG00000067177	P46020-2	8.85
ENSG00000067225	P14618,P14618-2	38700.0
ENSG00000067248	Q7Z478	5.72
ENSG00000067334	Q5QJE6	59.6
ENSG00000067369	Q12888	33.9
ENSG00000067533	Q9Y3B9	109.0
ENSG00000067560	P61586	3440.0
ENSG00000067596	Q14562	20.9
ENSG00000067606	Q05513	0.0936
ENSG00000067704	Q9NSE4	1370.0
ENSG00000067829	P51553	302.0
ENSG00000067842	Q16720-8	34.8
ENSG00000067900	Q13464	22.9
ENSG00000067955	Q13951-2	128.0
ENSG00000068024	P56524	19.3
ENSG00000068079	P80217	4.54
ENSG00000068120	Q13057	152.0
ENSG00000068323	P19532	0.849
ENSG00000068354	Q3MII6	2.73
ENSG00000068366	O60488-2	405.0
ENSG00000068394	Q92917	62.9
ENSG00000068400	Q4V328,Q4V328-2	8.68
ENSG00000068650	P98196	2.06
ENSG00000068654	O95602	40.8
ENSG00000068784	Q8N5C6	8.34
ENSG00000068796	O00139-1,O00139-2	49.9
ENSG00000068878	Q14997	15.2
ENSG00000068903	Q8IXJ6-2	49.0
ENSG00000068912	Q96DZ1	16.8
ENSG00000068971	Q15173	48.2
ENSG00000068976	P11217	1110.0
ENSG00000069020	O15021-2	14.5
ENSG00000069248	Q8WUM0	119.0
ENSG00000069275	Q9H1E3	1180.0
ENSG00000069329	Q96QK1	780.0
ENSG00000069345	O60884	520.0
ENSG00000069849	P54709	1230.0
ENSG00000069869	P46934-4	2.78
ENSG00000069956	Q16659	28.9
ENSG00000069974	P51159	302.0
ENSG00000069998	Q9BXW7-2	585.0
ENSG00000070010	Q92890	223.0
ENSG00000070061	O95163	129.0
ENSG00000070087	P35080-2	1020.0
ENSG00000070182	P11277-3	10.6
ENSG00000070214	Q8WWI5-3	15.0
ENSG00000070367	O00471	9.74
ENSG00000070423	Q9BV68-2	7.88
ENSG00000070495	Q6NYC1	11.3
ENSG00000070501	P06746	14.7
ENSG00000070669	P08243	631.0
ENSG00000070718	P53677	13.9
ENSG00000070756	P11940	2700.0
ENSG00000070761	Q9Y6A4	103.0
ENSG00000070770	P19784	97.8
ENSG00000070785	Q9NR50	169.0
ENSG00000070814	Q13428-3,Q13428-4	347.0
ENSG00000070831	P60953,P60953-1	3220.0
ENSG00000070882	Q9H4L5,Q9H4L5-2	12.1
ENSG00000070950	Q9NS91	2.96
ENSG00000070961	P20020-6	61.2
ENSG00000071051	O43639	7.55
ENSG00000071054	O95819-2	48.6
ENSG00000071082	P62899	6720.0
ENSG00000071127	O75083	2220.0
ENSG00000071462	O43709	0.931
ENSG00000071537	Q9UBV2	39.6
ENSG00000071539	Q15645	77.4
ENSG00000071553	Q15904	6.12
ENSG00000071564	P15923,P15923-2	11.2
ENSG00000071626	Q96EP5	894.0
ENSG00000071655	O95983-2	17.7
ENSG00000071794	Q14527	7.28
ENSG00000071859	Q14320	19.1
ENSG00000071894	Q10570	44.1
ENSG00000071994	Q16342-3	21.2
