Initial_state Attr label label2
is_028290 195 Apoptosis Apoptosis_390
is_028308 195 Apoptosis Apoptosis_391
is_028592 195 Apoptosis Apoptosis_392
is_028691 195 Apoptosis Apoptosis_393
is_028856 195 Apoptosis Apoptosis_394
is_028901 195 Apoptosis Apoptosis_395
is_028953 195 Apoptosis Apoptosis_396
is_029080 195 Apoptosis Apoptosis_397
is_029127 195 Apoptosis Apoptosis_398
is_029222 195 Apoptosis Apoptosis_399
is_029223 195 Apoptosis Apoptosis_400
is_029304 195 Apoptosis Apoptosis_401
is_029321 195 Apoptosis Apoptosis_402
is_029390 195 Apoptosis Apoptosis_403
is_029398 195 Apoptosis Apoptosis_404
is_029510 195 Apoptosis Apoptosis_405
is_029667 195 Apoptosis Apoptosis_406
is_029675 195 Apoptosis Apoptosis_407
is_029736 195 Apoptosis Apoptosis_408
is_029737 195 Apoptosis Apoptosis_409
is_029829 195 Apoptosis Apoptosis_410
is_029866 195 Apoptosis Apoptosis_411
is_029927 195 Apoptosis Apoptosis_412
is_030023 195 Apoptosis Apoptosis_413
is_030196 284 Leukemia2 Leukemia2_18
is_030259 195 Apoptosis Apoptosis_414
is_030390 195 Apoptosis Apoptosis_415
is_030411 195 Apoptosis Apoptosis_416
is_030524 195 Apoptosis Apoptosis_417
is_030732 195 Apoptosis Apoptosis_418
is_030848 195 Apoptosis Apoptosis_419
is_031025 195 Apoptosis Apoptosis_420
is_031301 195 Apoptosis Apoptosis_421
is_031385 195 Apoptosis Apoptosis_422
is_031563 195 Apoptosis Apoptosis_423
is_031599 195 Apoptosis Apoptosis_424
is_031686 195 Apoptosis Apoptosis_425
is_031908 195 Apoptosis Apoptosis_426
is_031956 195 Apoptosis Apoptosis_427
is_032033 195 Apoptosis Apoptosis_428
is_032042 195 Apoptosis Apoptosis_429
is_032128 195 Apoptosis Apoptosis_430
is_032148 195 Apoptosis Apoptosis_431
is_032284 195 Apoptosis Apoptosis_432
is_032329 195 Apoptosis Apoptosis_433
is_032438 195 Apoptosis Apoptosis_434
is_032506 195 Apoptosis Apoptosis_435
is_032586 195 Apoptosis Apoptosis_436
is_032637 195 Apoptosis Apoptosis_437
is_032653 195 Apoptosis Apoptosis_438
is_032771 195 Apoptosis Apoptosis_439
is_032792 195 Apoptosis Apoptosis_440
is_032861 195 Apoptosis Apoptosis_441
is_032952 195 Apoptosis Apoptosis_442
is_032977 284 Leukemia2 Leukemia2_19
is_033036 195 Apoptosis Apoptosis_443
is_033201 195 Apoptosis Apoptosis_444
is_033369 195 Apoptosis Apoptosis_445
is_033377 195 Apoptosis Apoptosis_446
is_033424 195 Apoptosis Apoptosis_447
is_033445 195 Apoptosis Apoptosis_448
is_033529 195 Apoptosis Apoptosis_449
is_033536 195 Apoptosis Apoptosis_450
is_033547 195 Apoptosis Apoptosis_451
is_033548 195 Apoptosis Apoptosis_452
is_033555 195 Apoptosis Apoptosis_453
is_033596 195 Apoptosis Apoptosis_454
is_033610 195 Apoptosis Apoptosis_455
is_033616 195 Apoptosis Apoptosis_456
is_033686 195 Apoptosis Apoptosis_457
is_033703 195 Apoptosis Apoptosis_458
is_033747 195 Apoptosis Apoptosis_459
is_033852 195 Apoptosis Apoptosis_460
is_033895 195 Apoptosis Apoptosis_461
is_033952 195 Apoptosis Apoptosis_462
is_034059 195 Apoptosis Apoptosis_463
is_034196 195 Apoptosis Apoptosis_464
is_034246 195 Apoptosis Apoptosis_465
is_034385 195 Apoptosis Apoptosis_466
is_034430 195 Apoptosis Apoptosis_467
is_034446 195 Apoptosis Apoptosis_468
is_034462 284 Leukemia2 Leukemia2_20
is_034485 195 Apoptosis Apoptosis_469
is_034581 195 Apoptosis Apoptosis_470
is_034648 195 Apoptosis Apoptosis_471
is_034695 195 Apoptosis Apoptosis_472
