attr	F_hierarchical_10	F_km_2	F_km_3
attractor686	1	1	1
attractor687	2	2	3
attractor688	2	2	3
attractor689	2	2	3
attractor690	2	2	3
attractor691	2	2	2
attractor692	1	1	1
attractor693	1	1	1
attractor694	2	2	3
attractor695	2	2	3
attractor696	2	2	2
attractor697	2	2	3
attractor698	2	2	2
attractor699	2	2	3
attractor700	2	2	2
attractor701	1	1	1
attractor702	2	2	2
attractor703	1	2	2
attractor704	2	2	3
attractor705	1	1	1
attractor706	2	2	3
attractor707	2	2	3
attractor708	2	2	3
attractor709	1	1	1
attractor710	1	1	1
attractor711	2	2	2
attractor712	2	2	3
attractor713	2	2	2
attractor714	2	2	3
attractor715	2	2	2
attractor716	2	2	3
attractor717	2	2	2
attractor718	4	2	2
attractor719	1	1	1
attractor720	1	1	1
attractor721	2	2	3
attractor722	10	2	3
attractor723	2	2	3
attractor724	2	2	3
attractor725	1	2	2
attractor726	2	2	3
attractor727	2	2	2
attractor728	2	2	2
attractor729	2	2	3
attractor730	2	2	3
attractor731	2	2	2
attractor732	2	2	3
attractor733	2	2	3
attractor734	2	2	3
attractor735	4	2	2
attractor736	8	2	2
attractor737	2	2	2
attractor738	2	2	3
attractor739	2	2	3
attractor740	2	2	3
attractor741	2	2	2
attractor742	2	2	3
attractor743	1	1	1
attractor744	1	1	1
attractor745	3	1	1
attractor746	1	1	1
attractor747	1	1	1
attractor748	1	2	3
attractor749	2	2	3
attractor750	2	2	3
attractor751	2	2	2
attractor752	2	2	3
attractor753	2	2	2
attractor754	4	2	2
attractor755	2	2	3
attractor756	2	2	3
attractor757	2	2	3
attractor758	2	1	2
attractor759	10	2	3
attractor760	1	1	1
attractor761	2	2	3
attractor762	2	2	3
attractor763	2	2	3
attractor764	1	1	1
attractor765	1	1	1
attractor766	1	1	1
attractor767	1	1	1
attractor768	1	1	1
attractor769	2	2	3
attractor770	4	2	3
attractor771	1	1	1
attractor772	2	2	2
attractor773	2	2	2
attractor774	2	2	2
attractor775	2	2	2
attractor776	2	2	3
attractor777	2	2	3
attractor778	2	2	3
attractor779	2	2	2
attractor780	1	1	1
attractor781	2	2	2
attractor782	1	1	1
attractor783	3	2	3
attractor784	1	1	1
attractor785	2	2	2
attractor786	2	2	3
attractor787	1	1	1
attractor788	3	2	3
attractor789	2	2	2
attractor790	2	2	3
attractor791	2	2	2
attractor792	2	2	2
attractor793	2	2	3
attractor794	1	1	1
attractor795	1	1	1
attractor796	2	2	2
attractor797	2	2	3
attractor798	2	2	3
attractor799	2	2	3
attractor800	1	1	2
attractor801	2	2	2
attractor802	2	2	3
attractor803	4	2	2
attractor804	2	2	2
attractor805	1	1	1
attractor806	2	2	3
attractor807	2	2	2
attractor808	2	2	3
attractor809	2	2	3
attractor810	2	2	3
attractor811	1	1	1
attractor812	1	1	1
attractor813	2	2	2
attractor814	1	1	1
attractor815	2	2	3
attractor816	2	2	3
attractor817	2	2	3
attractor818	1	1	1
attractor819	2	2	3
attractor820	1	1	1
attractor821	2	2	3
attractor822	2	2	3
attractor823	1	1	1
attractor824	1	1	1
attractor825	2	2	2
attractor826	1	1	1
attractor827	2	2	3
attractor828	2	2	3
attractor829	2	2	2
attractor830	1	1	1
attractor831	2	2	2
attractor832	2	2	3
attractor833	2	2	3
attractor834	2	2	3
attractor835	2	2	3
attractor836	2	2	2
attractor837	2	2	3
attractor838	2	2	2
attractor839	2	2	3
attractor840	2	2	2
attractor841	2	2	3
attractor842	2	2	2
attractor843	2	2	3
attractor844	1	1	1
attractor845	1	1	1
attractor846	2	2	3
attractor847	2	2	3
attractor848	1	1	1
attractor849	2	2	3
attractor850	1	1	1
attractor851	1	1	1
attractor852	2	2	3
attractor853	2	2	3
attractor854	2	2	2
attractor855	1	1	1
attractor856	2	2	3
attractor857	2	2	2
attractor858	2	2	3
attractor859	2	2	2
attractor860	2	2	2
attractor861	1	1	1
attractor862	1	1	1
attractor863	2	2	3
attractor864	1	1	1
attractor865	1	1	1
attractor866	2	2	3
attractor867	2	2	3
attractor868	1	1	1
attractor869	2	2	3
attractor870	2	2	3
attractor871	2	2	2
attractor872	1	1	1
attractor873	2	2	2
attractor874	2	2	2
attractor875	2	2	2
attractor876	1	1	1
attractor877	2	2	3
attractor878	2	2	3
attractor879	2	2	2
attractor880	2	2	3
attractor881	2	2	3
attractor882	2	2	3
attractor883	2	2	3
attractor884	1	1	1
attractor885	2	2	2
attractor886	2	2	3
attractor887	2	2	2
attractor888	2	2	3
attractor889	2	2	2
attractor890	1	1	1
attractor891	2	2	2
attractor892	1	1	2
attractor893	2	2	3
attractor894	1	1	1
attractor895	2	2	2
attractor896	2	2	2
attractor897	2	2	3
attractor898	2	2	3
attractor899	4	2	2
attractor900	2	2	2
attractor901	1	1	1
attractor902	2	2	2
attractor903	1	1	1
attractor904	2	2	3
attractor905	1	1	1
attractor906	1	1	1
attractor907	2	2	3
attractor908	1	1	1
attractor909	2	2	3
attractor910	1	2	3
attractor911	2	2	3
attractor912	2	1	1
attractor913	2	1	1
attractor914	2	2	3
attractor915	2	2	3
attractor916	2	2	2
attractor917	1	1	1
attractor918	2	2	2
attractor919	2	2	3
attractor920	2	2	3
attractor921	2	2	3
attractor922	1	1	1
attractor923	2	2	3
attractor924	2	2	3
attractor925	2	2	2
attractor926	1	1	1
attractor927	2	1	2
attractor928	2	2	3
attractor929	2	2	2
attractor930	2	2	3
attractor931	2	2	2
attractor932	2	2	2
attractor933	2	2	3
attractor934	2	2	3
attractor935	2	2	3
attractor936	1	1	1
attractor937	2	2	2
attractor938	1	1	1
attractor939	1	1	1
attractor940	2	2	3
attractor941	2	2	3
attractor942	1	1	1
attractor943	9	2	2
attractor944	1	1	1
attractor945	1	1	1
attractor946	2	2	2
attractor947	2	2	3
