attr	D_hierarchical_3	D_hierarchical_4	D_km_2	D_km_3
attractor315	1	1	1	3
attractor316	2	2	2	1
attractor317	2	2	1	3
attractor318	2	2	2	2
attractor319	2	2	2	2
attractor320	2	2	2	1
attractor321	2	2	2	1
attractor322	2	2	2	1
attractor323	1	1	1	3
attractor324	2	2	2	1
attractor325	2	2	2	2
attractor326	2	3	2	1
attractor327	1	1	1	2
attractor328	2	2	2	1
attractor329	2	2	2	1
attractor330	2	2	2	1
attractor331	2	2	2	2
attractor332	2	2	2	2
attractor333	2	2	2	1
attractor334	3	4	2	1
attractor335	2	2	2	2
attractor336	1	1	1	3
attractor337	2	2	2	1
attractor338	2	2	2	2
attractor339	2	2	2	1
attractor340	2	2	2	1
attractor341	2	2	2	1
attractor342	2	2	2	1
attractor343	2	2	2	2
attractor344	2	2	2	1
attractor345	2	2	2	2
attractor346	2	2	2	1
attractor347	2	2	2	2
attractor348	2	2	2	1
attractor349	2	2	2	1
attractor350	2	2	2	2
attractor351	2	2	2	1
attractor352	2	2	2	1
attractor353	1	1	1	3
attractor354	2	2	2	1
attractor355	1	1	1	3
attractor356	2	2	2	1
attractor357	2	2	2	1
attractor358	2	2	2	1
attractor359	2	2	2	2
attractor360	2	2	2	2
attractor361	2	2	2	2
attractor362	1	1	1	3
attractor363	2	2	2	1
attractor364	2	2	1	3
attractor365	2	2	2	1
attractor366	2	2	2	1
attractor367	2	2	2	1
attractor368	2	2	1	2
attractor369	2	2	2	2
attractor370	2	2	2	1
attractor371	2	2	2	1
attractor372	2	2	2	2
attractor373	2	2	2	2
attractor374	2	2	2	1
attractor375	2	3	2	2
attractor376	1	1	1	3
attractor377	1	1	2	1
attractor378	2	2	2	1
attractor379	1	1	1	3
attractor380	2	2	2	2
attractor381	2	2	2	2
attractor382	2	2	2	2
attractor383	2	2	2	1
attractor384	2	2	2	1
attractor385	1	1	1	3
attractor386	2	2	2	1
attractor387	2	2	2	2
attractor388	2	3	2	1
attractor389	2	2	2	2
attractor390	1	1	1	3
attractor391	2	2	2	1
attractor392	2	2	2	2
attractor393	2	2	2	1
attractor394	2	3	2	1
attractor395	1	1	1	3
attractor396	2	2	2	1
attractor397	2	2	2	1
attractor398	2	2	2	1
attractor399	1	1	1	3
attractor400	2	2	2	1
attractor401	2	2	2	1
attractor402	1	1	1	3
attractor403	2	2	2	1
attractor404	1	1	1	3
attractor405	2	2	2	2
attractor406	2	2	2	1
attractor407	2	2	2	1
attractor408	2	2	2	2
attractor409	2	2	2	1
attractor410	1	1	1	3
attractor411	2	2	2	1
attractor412	2	2	2	1
attractor413	1	1	1	3
attractor414	2	2	2	1
attractor415	1	1	1	3
attractor416	2	2	2	1
attractor417	1	1	1	3
attractor418	2	2	2	1
attractor419	2	2	2	1
attractor420	2	2	2	1
attractor421	2	2	2	1
attractor422	2	2	1	3
attractor423	2	2	2	1
attractor424	2	2	2	1
attractor425	2	3	2	1
attractor426	2	2	2	1
attractor427	1	1	1	3
attractor428	2	2	2	1
attractor429	1	1	1	3
attractor430	2	2	2	2
attractor431	2	3	2	1
attractor432	2	2	2	1
attractor433	2	2	2	1
attractor434	2	2	2	2
attractor435	2	2	2	1
attractor436	2	2	2	1
attractor437	2	2	2	1
attractor438	2	2	2	2
attractor439	2	2	1	3
attractor440	2	2	2	2
attractor441	3	4	1	3
attractor442	2	2	2	2
attractor443	2	2	2	1
attractor444	2	2	2	2
attractor445	2	2	2	2
attractor446	2	2	2	2
attractor447	2	2	2	1
attractor448	2	2	2	2
attractor449	2	3	2	1
attractor450	3	4	1	3
attractor451	2	2	2	2
attractor452	2	2	2	1
attractor453	2	2	2	1
attractor454	1	1	1	3
attractor455	1	1	1	3
attractor456	2	2	2	1
attractor457	2	2	2	2
attractor458	3	4	2	2
attractor459	1	1	1	3
attractor460	1	1	1	3
attractor461	2	2	2	1
attractor462	2	2	2	1
attractor463	1	1	1	3
attractor464	2	2	2	2
attractor465	2	2	2	2
attractor466	2	2	2	1
attractor467	1	1	1	3
attractor468	3	4	1	3
attractor469	1	1	1	3
attractor470	1	1	1	3
attractor471	2	2	2	1
attractor472	2	2	2	1
attractor473	2	2	2	2
attractor474	2	2	2	2
attractor475	2	2	2	1
attractor476	2	2	2	2
attractor477	2	2	2	1
attractor478	2	2	2	1
attractor479	2	2	2	2
attractor480	2	2	2	1
attractor481	2	2	2	1
attractor482	2	2	2	2
attractor483	1	1	1	3
attractor484	2	2	2	2
attractor485	1	1	1	3
attractor486	2	2	2	1
attractor487	2	2	2	1
attractor488	2	2	2	1
attractor489	2	2	2	2
attractor490	1	1	1	3
attractor491	2	2	2	1
attractor492	2	2	2	2
attractor493	1	1	1	3
attractor494	2	3	2	2
attractor495	2	3	2	1
attractor496	2	2	2	2
attractor497	2	2	2	1
attractor498	2	2	2	1
attractor499	2	2	2	2
attractor500	3	4	1	3
attractor501	2	2	2	1
attractor502	1	1	1	3
attractor503	2	2	2	2
attractor504	2	2	2	2
attractor505	2	2	2	2
attractor506	2	2	1	2
attractor507	2	2	2	1
attractor508	2	2	2	1
attractor509	1	1	1	3
attractor510	2	2	2	1
attractor511	2	2	2	1
attractor512	2	2	2	2
attractor513	1	1	1	3
attractor514	2	2	2	1
attractor515	2	2	2	1
attractor516	1	1	1	3
attractor517	2	2	2	1
attractor518	2	2	2	1
attractor519	2	2	2	1
attractor520	2	2	2	1
attractor521	2	2	2	1
