B_KM_2	B_KM_3
attractor776	2	1
attractor777	1	3
attractor778	1	3
attractor779	1	2
attractor780	2	1
attractor781	1	2
attractor782	2	1
attractor783	1	3
attractor784	2	1
attractor785	1	2
attractor786	1	2
attractor787	2	1
attractor788	1	2
attractor789	1	2
attractor790	1	3
attractor791	1	2
attractor792	1	2
attractor793	1	3
attractor794	2	1
attractor795	2	1
attractor796	1	2
attractor797	1	3
attractor798	1	3
attractor799	1	3
attractor800	2	1
attractor801	1	2
attractor802	1	3
attractor803	1	2
attractor804	1	2
attractor805	2	1
attractor806	1	3
attractor807	1	2
attractor808	1	3
attractor809	1	3
attractor810	1	3
attractor811	2	1
attractor812	2	1
attractor813	1	2
attractor814	2	1
attractor815	1	3
attractor816	1	3
attractor817	1	3
attractor818	2	1
attractor819	1	3
attractor820	2	1
attractor821	1	3
attractor822	1	3
attractor823	2	1
attractor824	2	1
attractor825	1	2
attractor826	2	1
attractor827	1	3
attractor828	1	3
attractor829	1	2
attractor830	2	1
attractor831	1	2
attractor832	1	3
attractor833	1	3
attractor834	1	2
attractor835	1	3
attractor836	1	2
attractor837	1	3
attractor838	1	3
attractor839	1	3
attractor840	1	2
attractor841	1	3
attractor842	1	2
attractor843	1	3
attractor844	2	1
attractor845	2	1
attractor846	1	3
attractor847	1	3
attractor848	2	1
attractor849	1	3
attractor850	2	1
attractor851	2	1
attractor852	1	3
attractor853	1	3
attractor854	1	2
attractor855	2	1
attractor856	1	3
attractor857	1	2
attractor858	1	3
attractor859	1	2
attractor860	1	3
attractor861	2	1
attractor862	2	1
attractor863	1	3
attractor864	2	1
attractor865	2	1
attractor866	1	3
attractor867	1	3
attractor868	2	1
attractor869	1	3
attractor870	1	3
attractor871	1	2
attractor872	2	1
attractor873	1	2
attractor874	1	2
attractor875	1	2
attractor876	2	1
attractor877	1	2
attractor878	1	3
attractor879	1	3
attractor880	1	3
attractor881	1	3
attractor882	1	3
attractor883	1	2
attractor884	2	1
attractor885	1	3
attractor886	1	3
attractor887	1	2
attractor888	1	3
attractor889	1	2
attractor890	2	1
attractor891	1	2
attractor892	1	2
attractor893	1	2
attractor894	2	1
attractor895	1	2
attractor896	1	2
attractor897	1	3
attractor898	1	3
attractor899	1	2
attractor900	1	2
attractor901	2	1
attractor902	1	2
attractor903	2	1
attractor904	1	3
attractor905	2	1
attractor906	2	1
attractor907	1	3
attractor908	2	1
attractor909	1	2
attractor910	1	3
attractor911	1	3
attractor912	2	1
attractor913	2	1
attractor914	1	3
attractor915	1	3
attractor916	1	2
attractor917	2	1
attractor918	1	2
attractor919	1	3
attractor920	1	3
attractor921	1	3
attractor922	2	1
attractor923	1	3
attractor924	1	3
attractor925	1	2
attractor926	2	1
attractor927	2	1
attractor928	1	3
attractor929	1	2
attractor930	1	3
attractor931	1	2
attractor932	1	2
attractor933	1	3
attractor934	1	3
attractor935	1	3
attractor936	2	1
attractor937	1	2
attractor938	2	1
attractor939	2	1
attractor940	1	3
attractor941	1	3
attractor942	2	1
attractor943	1	2
attractor944	2	1
attractor945	2	1
attractor946	1	2
attractor947	1	3
attractor948	2	1
attractor949	1	2
attractor950	1	2
attractor951	1	2
attractor952	2	1
attractor953	1	3
attractor954	2	1
attractor955	1	3
attractor956	2	1
attractor957	2	1
attractor958	1	2
attractor959	1	2
attractor960	1	3
attractor961	1	3
attractor962	1	3
attractor963	1	3
attractor964	2	1
attractor965	2	1
attractor966	1	2
attractor967	1	2
attractor968	1	3
attractor969	1	3
attractor970	1	3
attractor971	1	3
attractor972	2	1
attractor973	1	2
attractor974	1	3
attractor975	1	3
attractor976	2	1
attractor977	1	3
attractor978	1	3
attractor979	1	2
attractor980	1	2
attractor981	1	3
attractor982	1	3
attractor983	2	1
attractor984	1	3
attractor985	1	3
attractor986	2	1
attractor987	1	3
attractor988	2	1
attractor989	2	1
attractor990	1	3
attractor991	1	2
attractor992	1	2
attractor993	1	3
attractor994	2	1
attractor995	1	3
attractor996	1	3
attractor997	1	3
attractor998	1	3
attractor999	1	3
attractor1000	1	3
