"SUID","interaction","name","selected","shared interaction","shared name","Strength"
"37792","pos_interaction","SNRPD2_interaction_TAF1B","false","pos_interaction","SNRPD2_interaction_TAF1B","0.9897337840167136"
"37793","pos_interaction","SNRPD2_interaction_CDC20","false","pos_interaction","SNRPD2_interaction_CDC20","0.9803528761544948"
"37794","neg_interaction","SNRPD2_interaction_LRP1","false","neg_interaction","SNRPD2_interaction_LRP1","-0.9871743147574294"
"37796","pos_interaction","CDC16_interaction_NDC80","false","pos_interaction","CDC16_interaction_NDC80","0.9767144153746152"
"37797","pos_interaction","CDC16_interaction_AURKA","false","pos_interaction","CDC16_interaction_AURKA","0.9667601050410797"
"37798","pos_interaction","CDC16_interaction_TPX2","false","pos_interaction","CDC16_interaction_TPX2","0.9720600995420123"
"37799","pos_interaction","CDC16_interaction_SNRNP70","false","pos_interaction","CDC16_interaction_SNRNP70","0.9978958629124388"
"37800","pos_interaction","CDC16_interaction_CDC20","false","pos_interaction","CDC16_interaction_CDC20","0.9788045991288501"
"37801","neg_interaction","CDC16_interaction_LRP1","false","neg_interaction","CDC16_interaction_LRP1","-0.97285698066743"
"37803","pos_interaction","TOP2A_interaction_CDC27","false","pos_interaction","TOP2A_interaction_CDC27","0.9870319192151567"
"37804","neg_interaction","TOP2A_interaction_MOCOS","false","neg_interaction","TOP2A_interaction_MOCOS","-0.9901059770663898"
"37805","pos_interaction","TOP2A_interaction_NDC80","false","pos_interaction","TOP2A_interaction_NDC80","0.9953146919305809"
"37806","pos_interaction","TOP2A_interaction_AURKA","false","pos_interaction","TOP2A_interaction_AURKA","0.9985860539275293"
"37807","pos_interaction","TOP2A_interaction_TPX2","false","pos_interaction","TOP2A_interaction_TPX2","0.9996833182812939"
"37808","pos_interaction","TOP2A_interaction_SRPK1","false","pos_interaction","TOP2A_interaction_SRPK1","0.9946216391846869"
"37809","pos_interaction","TOP2A_interaction_SNRNP70","false","pos_interaction","TOP2A_interaction_SNRNP70","0.9583645649709276"
"37810","pos_interaction","TOP2A_interaction_FZR1","false","pos_interaction","TOP2A_interaction_FZR1","0.9685907665838639"
"37811","pos_interaction","TOP2A_interaction_TAF1B","false","pos_interaction","TOP2A_interaction_TAF1B","0.9855552799885205"
"37812","pos_interaction","TOP2A_interaction_CDC20","false","pos_interaction","TOP2A_interaction_CDC20","0.9971835692698022"
"37813","neg_interaction","TOP2A_interaction_LRP1","false","neg_interaction","TOP2A_interaction_LRP1","-0.9996779917958215"
"37814","pos_interaction","TOP2A_interaction_SNRPD2","false","pos_interaction","TOP2A_interaction_SNRPD2","0.9908017684522182"
"37815","pos_interaction","TOP2A_interaction_CDC16","false","pos_interaction","TOP2A_interaction_CDC16","0.9669058971442148"
"37817","pos_interaction","TEC_interaction_FZR1","false","pos_interaction","TEC_interaction_FZR1","0.9607587113231376"
"37819","neg_interaction","SKIL_interaction_FZR1","false","neg_interaction","SKIL_interaction_FZR1","-0.9524713822180844"
"37820","neg_interaction","SKIL_interaction_SNRPD2","false","neg_interaction","SKIL_interaction_SNRPD2","-0.9583325917479718"
"37822","pos_interaction","HMGA2_interaction_CDC27","false","pos_interaction","HMGA2_interaction_CDC27","0.9718174366513395"
"37823","neg_interaction","HMGA2_interaction_MOCOS","false","neg_interaction","HMGA2_interaction_MOCOS","-0.9753674462131987"
"37824","pos_interaction","HMGA2_interaction_NDC80","false","pos_interaction","HMGA2_interaction_NDC80","0.9998249732472523"
"37825","pos_interaction","HMGA2_interaction_AURKA","false","pos_interaction","HMGA2_interaction_AURKA","0.9920747695543273"
"37826","pos_interaction","HMGA2_interaction_TPX2","false","pos_interaction","HMGA2_interaction_TPX2","0.996555384998873"
"37827","pos_interaction","HMGA2_interaction_SRPK1","false","pos_interaction","HMGA2_interaction_SRPK1","0.9823477272941726"
