A_hierarchical_2 A_hierarchical_3 A_KM_2 B_KM_2 B_KM_3 C_km_2 C_km_3 D_hierarchical_3 D_hierarchical_4 D_km_2 E_hierarchical_2 E_hierarchical_3 E_km_2 F_hierarchical_10 F_km_2 F_km_3
attractor108 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor109 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor110 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor111 1 3 1 1 3 1 3 2 3 2 1 1 1 2 2 2
attractor112 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor113 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor114 1 1 1 1 3 1 1 2 3 2 2 2 1 2 2 2
attractor115 2 2 1 1 3 1 3 2 3 2 2 2 1 2 2 2
attractor116 1 1 1 2 2 1 1 3 4 1 1 1 1 1 1 1
attractor117 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor118 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor119 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor120 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor121 1 1 1 2 2 1 1 1 1 1 1 3 1 1 1 1
attractor122 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor123 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor124 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor125 1 3 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor126 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor127 1 3 2 2 2 2 1 2 2 1 1 1 2 1 1 1
attractor128 2 2 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor129 1 3 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor130 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor131 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor132 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor133 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor134 1 3 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor135 1 3 1 1 1 1 3 2 2 2 2 2 1 7 2 3
attractor136 2 2 2 1 3 2 3 2 2 2 1 3 2 2 2 2
attractor137 2 2 1 1 3 1 1 3 4 2 1 1 1 1 2 2
attractor138 1 1 2 2 2 2 2 2 2 2 1 1 2 2 1 3
attractor139 2 2 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor140 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor141 2 2 2 1 1 2 3 2 2 2 1 1 2 3 2 3
attractor142 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor143 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor144 2 2 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor145 1 3 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor146 1 1 1 2 2 1 3 2 2 1 2 2 1 1 1 1
attractor147 1 3 1 2 2 1 3 2 2 2 2 2 1 1 1 3
attractor148 2 2 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor149 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor150 1 1 2 1 3 2 2 2 3 2 2 2 2 2 2 2
attractor151 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor152 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor153 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor154 1 3 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor155 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor156 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor157 2 2 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor158 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor159 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor160 1 3 1 1 1 1 3 2 2 2 1 1 1 2 2 2
attractor161 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor162 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor163 1 1 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor164 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor165 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor166 1 3 2 1 3 2 2 2 3 2 1 1 2 2 2 2
attractor167 1 1 1 2 2 1 1 2 2 1 1 1 1 1 1 1
attractor168 1 3 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor169 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor170 2 2 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor171 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor172 1 1 2 1 3 2 3 2 3 2 1 1 2 2 2 2
attractor173 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor174 2 2 1 1 1 1 3 2 2 2 2 2 1 2 2 3
