ID	average_intensity
B9EGP5	11.3
B9EGR0	8.07
B9TWZ6	156.0
B9TX55	71.3
B9ZVN9	40.7
B9ZVR1	793.0
B9ZVT1	7.07
B9ZVU2	185.0
B9ZVX0	467.0
C0H5W9	189.0
C0H5Y7	1.07
C4AM86	4230.0
C4AMC7	2.08
C9IYD3	11.2
C9IYF0	0.249
C9IYL4	52.3
C9IYM2	1840.0
C9IYN9	62.3
C9IYT0	920.0
C9IYZ1	32.1
C9IZ32	10.4
C9IZ88	17.1
C9IZD2	38.8
C9IZD3	30.1
C9IZK7	345.0
C9IZS4	1840.0
C9IZY8	0.342
C9J013	2.49
C9J014	23.4
C9J050	68.8
C9J0A5	25.5
C9J0I9	31.3
C9J0J7	1070.0
C9J0K6	1910.0
C9J0Q5	0.263
C9J0V6	43.1
C9J0X4	2.39
C9J173	0.835
C9J1E5	394.0
C9J1E7	742.0
C9J1R5	12.8
C9J2C7	8.48
C9J2Q2	43.4
C9J2U4	252.0
C9J2Y9	77.2
C9J316	1.03
C9J338	3.03
C9J361	13.7
C9J366	70.5
C9J381	496.0
C9J3D7	4.39
C9J3E7	2.63
C9J3F8	2.67
C9J406	718.0
C9J415	16.4
C9J470	111.0
C9J486	14.1
C9J494	20.5
C9J4I3	9.4
C9J4I9	0.864
C9J4K0	9.16
C9J4L5	94.5
C9J4W5	20600.0
C9J502	485.0
C9J519	141.0
C9J578	46.2
C9J586	0.0119
C9J592	1810.0
C9J5J3	539.0
C9J5N1	50.9
C9J5W5	223.0
C9J5W6	2180.0
C9J668	12.5
C9J670	9.03
C9J673	849.0
C9J6D1	790.0
C9J6P4	87.6
C9J712	651.0
C9J715	32.1
C9J792	1310.0
C9J7B8	5.37
C9J7L0	4.45
C9J7P5	187.0
C9J808	299.0
C9J840	44.3
C9J880	7.72
C9J8D4	178.0
C9J8E1	73.4
C9J8H5	2.41
C9J8K7	16.1
C9J8Q9	150.0
C9J8R4	237.0
C9J8R8	154.0
C9J8T0	46.4
C9J8T4	16.9
C9J931	3200.0
C9J977	6.51
C9J9B2	9.83
C9J9E4	69.5
C9J9K3	10000.0
C9J9P8	1.96
C9J9W7	30.3
C9JA93	35.7
C9JAA9	53.3
C9JAB0	11.4
C9JAF7	85.3
C9JAL2	412.0
C9JAM8	546.0
C9JAP5	3.22
C9JB25	1720.0
C9JB30	81.8
C9JB80	81.9
C9JBJ6	8.36
C9JBL1	1130.0
C9JBN1	474.0
C9JBV1	239.0
C9JBY7	22.2
C9JC63	1.78
C9JCE0	4.5
C9JCN8	21.8
C9JD58	2.82
C9JD87	29.1
C9JDG0	2.44
C9JDL2	14700.0
C9JDZ9	15.5
C9JEM7	64.7
C9JEV6	54.9
C9JF15	1370.0
C9JF50	30.7
C9JFA7	19.9
C9JFB2	8.73
C9JFE4	269.0
C9JFF4	61.8
C9JFK9	201.0
C9JFR7	1190.0
C9JFU2	0.929
C9JG32	253.0
C9JG97	124.0
C9JGC8	1.7
C9JGH7	1.33
C9JGV1	2.3
C9JH18	43.3
C9JH55	33.9
C9JHF5	3.8
C9JHK9	242.0
C9JHL4	57.9
C9JHS6	14.7
C9JHU5	2190.0
C9JIK8	9.54
C9JIR3	17.3
C9JIR6	38.5
C9JIZ0	813.0
C9JJP5	610.0
C9JJP8	1210.0
C9JJQ0	15.5
C9JJT6	86.2
C9JJV1	1.09
C9JK83	34.9
C9JKA9	3.41
C9JKF1	1330.0
C9JKM9	707.0
C9JLE1	30.9
C9JLU1	61.6
C9JM20	38.8
C9JM50	7070.0
C9JM79	131.0
C9JMN1	4.88
C9JMN9	166.0
C9JMU5	2080.0
C9JN15	299.0
C9JNI7	514.0
C9JNP8	3.02
C9JNU9	34.2
C9JP00	282.0
C9JP35	385.0
C9JP85	23.2
C9JPA8	67.1
C9JPE8	372.0
C9JPI5	143.0
C9JPL0	6.1
C9JPP3	714.0
C9JPR2	195.0
C9JPT4	9.22
C9JPX5	30.2
C9JQ19	1.32
C9JQ41	518.0
C9JQ55	497.0
C9JQD4	633.0
C9JQQ2	9.85
C9JQQ5	38.4
C9JQT2	375.0
C9JQV3	2.81
C9JRD2	2.52
C9JRD9	65.5
C9JRH2	1230.0
C9JRJ5	2.66
C9JRP8	102.0
C9JRV9	321.0
C9JRY4	7.24
C9JRZ8-2	53.1
C9JS61	16.6
C9JS83	45.3
C9JSL2	394.0
C9JSZ1	2820.0
C9JT21	275.0
C9JT95	174.0
C9JTA2	19.2
C9JTN7	149.0
C9JTY6	43.1
C9JU34	26.1
C9JU35	5.26
C9JU75	102.0
C9JV95	56.9
C9JVA8	21.4
C9JVE2	180.0
C9JVK8	4.14
C9JVV5	108.0
C9JVY5	16.5
C9JW67	32.5
C9JWG9	2.11
C9JWI7	14.4
C9JWM9	5.66
C9JX83	65.2
C9JXC3	6.78
C9JXG5	1.23
C9JXK0	319.0
C9JXQ1	2.46
C9JXQ7	33.5
C9JY10	19.8
C9JYB3	384.0
C9JYI7	16.8
C9JYM0	66.8
C9JYQ9	1.96
C9JZI4	252.0
C9JZI7	461.0
C9JZL3	25.6
C9JZL8	147.0
C9JZP1	185.0
C9JZT2	49.9
C9JZY6	81.6
C9K068	455.0
C9K0B6	27.0
C9K0E3	24.6
C9K0L8	128.0
D0UFD3	480.0
D3DNT2	519.0
D3DNV8	10.5
D3DQ30	43.8
D3DQV9	306.0
D3DRA3	2960.0
D3DRR9	1.45
D3DU85	38.5
D4QA03	2.23
D6R905	205.0
D6R918	1050.0
D6R922	104.0
D6R938	222.0
D6R959	471.0
D6R9C3	0.411
D6R9C8	72.6
D6R9F4	0.339
D6R9G1	65.4
D6R9L0	5010.0
D6R9L5	781.0
D6R9P3	3770.0
D6R9Q9	501.0
D6R9U7	11.6
D6R9X7	25.5
D6R9X8	7.1
D6RA57	84.3
D6RA82	0.61
D6RA93	12.6
D6RAC5	509.0
D6RAC7	927.0
D6RAD4	40.3
D6RAF2	1.66
D6RAH7	1690.0
D6RAI5	739.0
D6RAI6	7.78
D6RAJ6	5.18
D6RAN8	220.0
D6RAS7	6450.0
D6RAT0	7670.0
D6RAU1	7.13
D6RAW1	26.1
D6RAX2	570.0
D6RAY7	454.0
D6RB78	391.0
D6RBL5	6790.0
D6RBM0	3790.0
D6RBN9	1.74
D6RBR7	48.3
D6RBS5	17.2
D6RBV2	1390.0
D6RBW1	834.0
D6RC46	1.71
D6RCB6	3.29
D6RCD0	7.36
D6RCQ8	183.0
D6RCT7	10.2
D6RCT8	1360.0
D6RD44	51.7
D6RD46	5.14
D6RD65	28.0
D6RD67	354.0
D6RD79	12.5
D6RDA9	58.4
D6RDI3	2.4
D6RDJ1	329.0
D6RDU5	608.0
D6RDY6	449.0
D6RE17	165.0
D6REA0	38.4
D6REB5	13.3
D6REJ1	1.69
D6REM4	230.0
D6REQ6	2780.0
D6REX3	507.0
D6RF12	151.0
D6RF48	13.3
D6RF62	2360.0
D6RF93	170.0
D6RG00	1620.0
D6RG13	8090.0
D6RGI3	612.0
D6RGK9	1.42
D6RGX2	42.0
D6RH22	647.0
D6RH30	242.0
D6RHC4	61.8
D6RHE1	5.11
D6RHI9	111.0
D6RHU3	34.4
D6RI06	25.6
D6RIF6	18.0
