Gene_Symbol	MCF10A_1_FPKM	MCF10A_2_FPKM	MCF10A_3_FPKM	MCF10A_4_FPKM	MDA_MB-231_1_FPKM	MDA_MB-231_2_FPKM	MDA_MB-231_3_FPKM	MDA_MB-231_4_FPKM	MDA_MB-231/MCF10A.fc	MDA_MB-231/MCF10A.baseMean	MDA_MB-231/MCF10A.lfcSE	MDA_MB-231/MCF10A.stat	MDA_MB-231/MCF10A.raw.pval	MDA_MB-231/MCF10A.bh.pval	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4	MCF10A_1_Read_Count	MCF10A_2_Read_Count	MCF10A_3_Read_Count	MCF10A_4_Read_Count	MDA_MB-231_1_Read_Count	MDA_MB-231_2_Read_Count	MDA_MB-231_3_Read_Count	MDA_MB-231_4_Read_Count
GSPT1	19.169579	24.3888	19.232477	25.155656	32.882546	40.577032	34.633086	41.850208	1.438519898	2805.340764	0.194377081	2.698801599	0.006958965	0.015062721	11.16791173	11.69256952	11.09582223	11.41149187	11.09841532	11.43406575	11.48569918	11.64029212	11.52932928	11.67168616	1530	3148	1981	2544	2543	2949	3523	4922
GSR	25.428475	19.860916	34.676129	21.258471	56.942061	30.605315	68.821395	30.8093	1.579166386	1470.132614	0.328453431	2.006869539	0.044763556	0.076930552	10.15479696	10.81400715	10.21858252	10.13685726	10.49743479	10.1994679	10.82768854	10.28605619	11.04418464	10.28620326	882	1119	1587	952	1856	969	3091	1562
GSS	22.740966	25.081318	21.868608	26.625578	52.869849	53.793189	46.716223	53.064711	1.876642683	969.9175966	0.145473118	6.242761521	4.29912E-10	3.39831E-09	9.397044693	10.30563958	9.48745856	9.67864976	9.45897958	9.72434294	10.13691851	10.12272844	10.14191513	10.11272852	487	869	606	723	1099	1052	1456	1676
GSTA4	11.783928	7.246937	11.457691	6.766181	7.946157	7.874853	8.199165	9.001503	-1.29594256	158.1201984	0.195182388	-1.916165591	0.055344022	0.09272788	7.481648601	7.103383114	7.54894992	7.26191168	7.52514014	7.20509906	7.16900752	7.13511033	7.1897116	7.24026505	177	176	222	129	116	108	157	199
GSTM2	0.879124	0.274458	0.831191	0.360253	7.251682	8.704712	7.295111	8.223483	11.76802153	64.96790218	0.313099967	11.35994973	6.61827E-30	2.36326E-28	3.37158911	6.901899714	4.77819865	4.37495175	4.74909984	4.51575468	6.23642524	6.35849831	6.21110003	6.31872895	12	6	15	7	98	109	125	167
GSTM4	5.725453	3.142711	6.529371	2.816919	13.799672	12.083913	13.309623	11.22542	2.42878058	155.9579736	0.253610626	5.04802255	4.46406E-07	2.29233E-06	6.507710615	7.787388367	6.95308105	6.63170676	7.0247622	6.55241231	7.62523792	7.47177271	7.57527158	7.41449638	91	82	129	57	213	174	265	262
GSTP1	166.817429	213.978745	162.672485	204.955429	205.291595	193.724228	198.247299	185.879669	-1.130349018	2470.103958	0.182071297	-0.970874078	0.331610988	0.421898235	11.35591168	11.1794051	11.14912872	11.48759926	11.1286838	11.44546216	11.26470178	11.18690337	11.2339371	11.15464931	1782	3699	2244	2777	2125	1886	2701	2925
GSTT2	5.273779	13.99313	7.690075	11.106959	4.512319	3.410271	2.941538	3.358649	-3.146229499	113.5594615	0.370286361	-4.465797518	7.9771E-06	3.27541E-05	7.427658757	5.780117096	6.53441274	7.46670273	6.81350084	7.25112338	6.35952678	6.15151625	6.05746332	6.11751333	74	306	135	191	61	44	52	68
GSTZ1	8.988229	4.277401	10.039805	3.774844	25.832564	18.496328	24.66227	17.829039	2.781027159	241.7219179	0.300039957	4.918071074	8.74012E-07	4.28169E-06	6.99845292	8.474034523	7.48187314	7.17212481	7.58245241	7.00523864	8.34408888	8.00967534	8.31868515	7.98950887	128	118	188	72	367	246	470	387
MSH6	18.92331	30.923948	19.291058	19.803639	31.872024	56.250455	30.700653	55.835268	1.607138592	1796.687423	0.301280557	2.271949946	0.023089534	0.043190188	10.42849368	11.11325206	10.36487042	10.87532394	10.38778788	10.51352632	10.70733704	11.18844043	10.67653833	11.17010348	897	2326	1192	1194	1419	2375	1803	3751
GTF2A1	11.120039	12.190968	11.869013	12.708407	20.270473	24.96566	21.05809	25.226404	1.614981048	1435.491918	0.143604467	4.815429845	1.46883E-06	6.88185E-06	10.10042254	10.79211215	10.11221394	10.32036396	10.18280283	10.35155955	10.57220052	10.69133266	10.60474366	10.74393786	768	1394	1083	1139	1388	1545	1898	2640
GTF2A2	27.636034	34.912515	27.663245	35.667419	18.4988	62.506411	29.794126	36.183625	-1.022512974	724.885294	0.359332883	-0.089385497	0.928775549	0.955000888	9.517346738	9.48569751	9.30324926	9.63654151	9.3100055	9.63716083	8.93902282	9.92491356	9.3068086	9.44786711	488	1013	635	798	319	1006	672	946
GTF2B	16.706392	14.547203	16.057798	14.856779	15.735157	19.096788	17.561478	20.159189	-1.000812183	369.2467217	0.113797696	-0.010292448	0.99178796	0.994121389	8.530594362	8.526285025	8.53223098	8.53418967	8.49964733	8.54878416	8.42348364	8.55716412	8.51240269	8.60407066	307	432	381	346	280	320	411	545
GTF2E1	4.772015	5.666981	4.947322	6.131747	4.481132	6.386408	3.79038	6.307629	-1.217709356	217.4643015	0.237644897	-1.195775013	0.231784369	0.313877492	7.899434675	7.615929256	7.66847805	7.92931669	7.69861178	7.99084617	7.55964555	7.81956258	7.43069458	7.81333484	162	311	217	263	147	197	164	315
GTF2E2	18.152533	20.282135	18.536222	19.981104	27.1515	35.918039	25.858657	38.020966	1.395722233	587.8209467	0.182429978	2.636693045	0.008371855	0.017732602	8.938668471	9.419858562	8.93245752	9.13663059	8.94882252	9.11946149	9.20003211	9.41246063	9.1604883	9.46428649	355	642	468	495	513	639	645	1093
GTF2F1	55.524639	34.321449	54.140587	33.171974	45.777027	44.149925	43.956699	46.003357	-1.136109163	1514.852051	0.167363707	-1.100008275	0.271328517	0.357003602	10.65421638	10.46981775	10.76250183	10.46949543	10.74061266	10.43756719	10.53280461	10.47412074	10.4974879	10.51113099	1580	1580	1989	1197	1262	1145	1595	1928
GTF2F2	19.87384	23.593506	19.701845	25.00429	22.322039	37.67804	22.874191	35.03064	1.127770155	498.0186564	0.243491626	0.712439569	0.47619262	0.56527285	8.870584258	9.044301463	8.74808634	9.00736041	8.7430535	9.05300143	8.78517318	9.19789075	8.80309184	9.13794599	322	619	413	514	351	557	473	837
GTF2H1	16.765036	17.258071	21.054144	16.603243	35.249812	34.060883	35.78235	33.912971	1.63075886	1151.292005	0.094729317	7.447994877	9.47695E-14	1.12693E-12	9.772527399	10.4797348	9.84704984	9.95719752	9.9850853	9.90260448	10.36388498	10.31988232	10.3771487	10.30297284	657	1057	1005	778	1260	1166	1685	1843
GTF2H2	2.802144	3.508907	4.629541	5.353951	7.063626	15.699165	7.80745	17.690296	2.488901404	202.9321785	0.376556046	3.493527973	0.000476683	0.001360881	6.862165122	8.177556294	6.83011196	7.082235	7.18596704	7.40209944	7.4562148	8.12384274	7.53852387	8.23743797	61	124	131	148	149	312	217	567
GTF2H3	9.921604	9.956746	9.949761	10.336095	20.219877	28.498917	19.525663	31.133907	2.068454328	760.8814834	0.193674834	5.413987356	6.16365E-08	3.62111E-07	8.95414711	10.00250547	9.11805087	9.21955412	9.12119924	9.26022249	9.62766248	9.91774796	9.59681186	9.98802443	378	604	490	500	729	981	927	1706
GTF2H4	8.655321	6.262952	7.817203	7.800015	12.929235	16.528618	14.64523	17.697279	1.736154134	258.5003791	0.153050351	5.200216986	1.99056E-07	1.08055E-06	7.565383529	8.355742267	7.78826066	7.64517128	7.71013425	7.81601119	8.05731753	8.24096467	8.16352223	8.30252999	166	194	194	190	240	289	358	499
GTF2I	56.292022	33.409336	57.104055	34.646851	34.851683	29.83742	35.504982	28.986971	-1.625388447	2340.278607	0.19045591	-3.679510628	0.000233682	0.000719439	11.50073505	10.79990632	11.49948504	11.18143893	11.51530025	11.19379179	11.02050142	10.86139892	11.03196624	10.84796036	2799	2744	3675	2191	1682	1347	2247	2135
GTF2IP1	32.24007	17.530092	36.057693	21.380505	21.107954	14.649874	21.610815	16.204546	-1.672593305	1106.185172	0.24674293	-3.007529717	0.002633804	0.006300222	10.4353	9.693009034	10.39927145	9.9906498	10.50198843	10.15666973	9.96719094	9.64671265	9.98615856	9.72732682	1306	1149	1886	1098	828	541	1116	967
GTF3A	36.242001	69.956696	38.17152	67.933517	79.65976	91.332832	76.044876	95.413513	1.344365183	1293.701999	0.307112499	1.390126051	0.164490604	0.234945828	10.10795077	10.53512266	9.80314419	10.45949017	9.84227699	10.42962933	10.38657378	10.47659851	10.34537853	10.51848599	568	1773	772	1349	1209	1303	1519	2201
BRF1	7.697505	7.310727	8.081103	7.024896	8.085101	7.27779	6.514127	7.448975	-1.210023669	348.7947643	0.099578866	-2.761984341	0.005745123	0.012681972	8.575661351	8.304042047	8.51797491	8.50415065	8.5418011	8.512938	8.40965879	8.38242308	8.31960537	8.33458948	315	435	418	346	288	271	340	412
GTF3C1	17.278646	12.517083	17.710072	12.250038	16.272064	19.130135	16.256362	19.242404	1.018388878	1530.162969	0.130544492	0.201376317	0.840404332	0.885711467	10.56643861	10.59238394	10.64589098	10.48661472	10.66339708	10.46823848	10.53093175	10.63447984	10.52275731	10.64637426	1370	1595	1804	1228	1246	1368	1626	2235
GTF3C2	16.146159	15.727023	17.205838	15.500244	12.667938	15.087987	12.234365	15.855557	-1.334916353	803.1956688	0.118745285	-3.509607498	0.000448769	0.001289727	9.843134293	9.426039039	9.70395677	9.78746121	9.74340817	9.79702575	9.44878184	9.56575503	9.41911538	9.60734137	713	1102	963	877	547	613	695	1038
GUK1	173.525289	277.696726	164.541295	277.16388	84.437656	97.627339	86.467557	108.969374	-2.853445969	2288.80143	0.272882941	-5.543421806	2.96617E-08	1.82142E-07	11.72692183	10.21425836	11.10438296	11.70838665	11.08811166	11.67858214	10.50461758	10.57163578	10.48305696	10.60203825	1939	5253	2456	4008	974	1033	1248	1731
GUSB	24.702839	15.914446	24.973779	15.232342	30.996474	25.14889	29.66235	26.604989	1.247956363	719.6811567	0.182673315	1.749393387	0.080223043	0.127759178	9.322804258	9.642003874	9.5282232	9.28140111	9.49586971	9.19878316	9.67348034	9.46354179	9.63389097	9.50765216	627	655	779	465	771	588	971	998
GYG1	16.408168	16.471407	17.879846	16.73547	12.503734	15.120078	14.503273	16.382454	-1.352575733	418.278592	0.119949442	-3.632441873	0.000280752	0.000845403	8.910619221	8.472954891	8.74004578	8.85056214	8.81348086	8.87500312	8.46077218	8.5847452	8.57683787	8.63532609	362	578	509	468	268	304	408	521
GYS1	14.493983	19.623877	14.010304	24.420904	24.789045	24.605947	24.426291	23.877947	1.121798878	1024.939793	0.252112175	0.657699477	0.510731259	0.599077632	9.915922546	10.0819503	9.68384692	10.05400663	9.65701476	10.24218236	10.07104897	10.03605034	10.05755731	9.98436045	585	1282	730	1250	969	905	1257	1373
H1F0	78.898575	45.742527	75.903641	42.408089	147.974808	103.501633	136.180496	103.844933	1.76189549	2780.394637	0.2364243	3.456194435	0.00054786	0.001545038	10.97545968	11.79251834	11.31485925	10.98639143	11.28287527	10.92446625	11.80798621	11.45809458	11.73127531	11.46367851	2050	1924	2547	1398	3725	2451	4513	3975
HIST1H1C	12.685966	4.882618	10.569477	5.560225	17.369324	14.368472	15.435015	12.667907	1.556026755	111.7553479	0.301918079	2.112715045	0.034625165	0.061544225	6.452109803	7.086997845	6.87202731	6.26928786	6.72731343	6.35656109	7.07540352	6.88567084	6.97338173	6.78939627	104	65	112	58	138	107	161	153
H2AFX	21.122114	24.728382	21.43454	23.544132	33.834957	84.851006	32.618492	85.654907	2.197037565	843.0414052	0.363500426	3.123956554	0.001784368	0.004456411	9.042679745	10.17830366	9.14970052	9.38563047	9.15999373	9.34304322	9.46924499	10.26031838	9.43700363	10.27259847	376	711	492	531	583	1374	739	2242
H2AFZ	79.797798	86.336807	84.260101	90.272888	136.230713	282.072662	139.0056	298.822418	2.124323657	1832.040593	0.300368257	3.618903008	0.000295854	0.000885914	10.19570501	11.28268923	10.30548454	10.48093591	10.34806249	10.513527	10.68262934	11.30510059	10.6987757	11.36261064	843	1476	1149	1209	1394	2715	1872	4649
HIST1H2BD	14.858338	4.368578	12.897409	4.16582	12.313996	6.62711	12.949923	6.854625	-1.125918004	94.37848027	0.496119882	-0.34487988	0.730184677	0.796735113	6.643942351	6.471691277	6.94956648	6.0376496	6.81720888	6.05985321	6.71378489	6.12062053	6.71889383	6.0909868	133	58	147	47	105	47	139	73
H3F3B	103.459015	111.897789	107.076958	113.351257	63.010052	110.469986	61.414021	109.884636	-1.492932196	3782.55664	0.244408698	-2.365499468	0.018005769	0.034705348	12.14545921	11.56729003	11.91250236	12.10732562	11.94293256	12.11494793	11.44352226	11.87863025	11.42257003	11.87662921	3301	5777	4411	4586	1948	3212	2499	5164
HSD17B10	21.862757	33.517423	23.036778	30.342439	45.308926	56.56647	45.068741	58.677157	1.593329751	497.0979687	0.237616829	2.828271362	0.004680012	0.010547527	8.582036847	9.254966859	8.48670919	8.94421084	8.5100438	8.85755081	9.01982851	9.18273321	9.01447918	9.22019309	235	583	313	414	472	553	618	929
HAGH	10.631988	8.130609	8.809589	8.237758	17.640409	11.76161	17.139997	12.645553	1.394646445	236.7947094	0.199649165	2.403713693	0.016229478	0.031663528	7.628322145	8.107119459	7.79704875	7.69445104	7.65778197	7.76042194	8.1646793	7.79655656	8.1443517	7.85350226	178	220	193	188	286	180	368	311
HADHA	92.15271	64.07058	90.956017	66.261284	75.816338	69.1549	71.165535	67.937363	-1.278733701	3039.01391	0.122736641	-2.890056701	0.003851723	0.008865135	11.73587415	11.38115129	11.75197865	11.56018346	11.74122397	11.58515677	11.52178277	11.416673	11.46753511	11.40486261	3121	3512	3978	2846	2488	2134	3074	3390
HADHB	51.581295	34.756037	51.705538	35.360634	33.839716	31.996684	35.080024	34.573857	-1.471345836	1141.928673	0.134822848	-4.132358841	3.59059E-05	0.000130131	10.4093577	9.851575215	10.39797279	10.18316985	10.40102398	10.18680879	9.98308792	9.91843283	10.00371875	9.96662897	1259	1384	1630	1094	809	727	1093	1243
HADH	22.651959	14.849083	21.31451	14.432392	26.160738	22.938107	27.152322	26.690885	1.212480372	574.2668244	0.155115111	1.791968496	0.073138013	0.11802771	9.020808244	9.297135165	9.20600741	8.9764353	9.15526961	8.94263799	9.26762083	9.12924503	9.29902679	9.2492174	501	534	609	403	560	463	765	859
HARS	37.106176	48.579519	38.142551	45.187653	35.342995	55.712469	35.724305	56.289372	-1.088844402	1346.881881	0.240071648	-0.511504817	0.608997616	0.689468116	10.45546181	10.3327446	10.24699999	10.59733678	10.26085174	10.53190446	10.15406747	10.50644337	10.15122078	10.51924792	945	1993	1240	1457	878	1296	1153	2119
HAS2	4.936708	2.206861	5.509991	2.366721	4.46115	3.899792	5.522176	5.188996	1.115070945	183.7690446	0.307024798	0.51180069	0.608790507	0.689296804	7.442563654	7.596815123	7.6499948	7.12396225	7.7422084	7.17296541	7.50383062	7.36923444	7.68370065	7.60618722	181	131	260	110	158	130	258	280
HAS3	0.300712	0.073256	0.281144	0.113216	0.412009	0.484377	0.379534	0.596726	2.177611276	18.80642883	0.453728177	2.474491337	0.013342606	0.026687371	3.580166575	4.681037809	4.15227662	3.61295633	4.1114676	3.75271682	4.30032665	4.3787922	4.24479548	4.51797231	15	6	18	7	20	22	24	43
HCCS	7.879975	11.449981	9.368437	11.524658	21.794045	29.813346	21.679258	23.752119	2.025506867	525.1001445	0.220598569	4.615999925	3.91207E-06	1.6983E-05	8.438081127	9.458142438	8.41325201	8.8102326	8.54186378	8.81349806	9.17318639	9.42811102	9.16932971	9.22600773	207	486	318	384	552	713	724	918
HCFC1	12.00154	12.265735	11.326536	11.956444	14.389288	20.495306	14.635358	20.23238	1.245102415	1633.056753	0.169885154	1.861636564	0.062654336	0.103006563	10.50657503	10.82284472	10.5149994	10.6525588	10.4679966	10.62727807	10.60704775	10.88519799	10.62060182	10.87670835	1128	1865	1375	1425	1310	1755	1754	2801
HTT	3.359167	3.810342	3.901624	3.55623	4.466777	4.541286	4.230947	3.88789	-1.004238385	714.3871278	0.12839125	-0.047524854	0.962094922	0.973281157	9.482215219	9.478907435	9.34826983	9.5741537	9.47305736	9.51119516	9.52794262	9.51279795	9.48019408	9.38484523	505	927	757	678	651	622	811	861
HDAC1	42.906948	35.686726	43.627151	33.503952	49.96365	62.88879	47.089176	58.78344	1.203916443	1291.376445	0.123255893	2.172190396	0.029841305	0.054075876	10.19447627	10.46248265	10.27621179	10.24065107	10.29062739	10.1848361	10.34472478	10.51494774	10.2936916	10.4585582	1001	1347	1314	991	1129	1337	1401	2019
HDAC2	17.077937	21.441268	18.063638	20.559337	24.674529	36.613109	26.017468	37.486626	1.365320919	2214.299117	0.210403656	2.135134459	0.032750029	0.058633039	10.8705484	11.31987523	10.79964885	11.10119135	10.8429282	11.06158105	11.03855618	11.35103343	11.08352183	11.37426524	1268	2574	1730	1934	1772	2474	2462	4094
HDGF	240.455878	176.599294	231.041184	180.342252	245.495456	261.499772	261.00128	223.695377	-1.006135091	6783.233847	0.101149259	-0.087237668	0.930482599	0.956097181	12.73216647	12.72333505	12.80946055	12.66991345	12.7656832	12.66510549	12.77820454	12.69998173	12.74812334	12.66681952	6172	7366	7572	5765	6194	5500	7882	8524
HDLBP	204.761883	173.644025	198.198562	181.929879	138.137462	104.390982	146.959565	93.870071	-1.75486566	13021.00354	0.173965264	-4.663922986	3.10238E-06	1.3745E-05	14.01791546	13.20659946	13.84028686	13.83521442	13.83006304	13.92699881	13.51484308	13.25974099	13.50736577	13.18116381	13434	18753	17138	16347	9608	6841	12548	9974
HELLS	2.503885	4.945314	2.937869	6.133671	6.428926	22.807153	7.256071	23.201926	2.943829886	386.1037472	0.505500438	3.081489529	0.002059677	0.005076264	7.613108173	9.170989027	7.52217143	8.07138691	7.61262819	8.25467835	8.15387426	9.21299379	8.20934167	9.23243256	93	279	138	275	229	727	323	1194
HEXA	35.361893	20.435467	35.238462	18.877709	30.088997	17.520533	31.02306	17.578756	-1.327998062	939.1080437	0.293112914	-1.396229993	0.162645247	0.232848439	10.06533497	9.65602502	10.14173218	9.79225969	10.14588211	9.7217553	9.8992942	9.46321662	9.96614313	9.4698701	1077	1013	1396	733	851	487	1211	792
HEXB	53.668755	39.553055	55.145939	37.420853	87.704369	74.200369	92.928341	76.302927	1.544519006	1614.5726	0.151671657	4.134969158	3.55002E-05	0.000128737	10.30961738	10.9366535	10.50762318	10.37341245	10.53973042	10.32535103	10.87003267	10.70732254	10.92965882	10.7215892	1138	1357	1526	1006	1801	1456	2536	2385
CFH	250.733303	92.532912	265.25635	103.751622	4.553126	3.221416	4.269282	4.747577	-50.96833432	4987.695607	0.350442908	-16.18388951	6.55213E-59	7.63694E-57	13.25611732	7.585044152	12.77850914	11.91895119	12.82470775	11.96061204	9.46116286	9.31397721	9.42700531	9.30630293	11046	6718	14886	5515	198	136	243	217
HFE	5.139277	2.503951	5.708017	2.519219	5.271366	2.913648	6.111771	2.883318	-1.084416222	118.9992719	0.383860607	-0.304586086	0.760681419	0.821666281	6.952461138	6.834756624	7.08125407	6.62228499	7.16952357	6.58024664	6.99440792	6.50715483	7.14095581	6.53293844	128	101	183	75	120	62	188	104
NRG1	1.104052	4.080401	1.150177	4.597268	2.162581	14.728601	1.996542	13.971753	1.656345836	279.5347682	0.626694967	1.16165594	0.24537525	0.328879497	7.717188353	8.445597343	7.09580964	8.24134562	7.19035838	8.08179047	7.51225944	8.56874079	7.48875521	8.68024197	68	420	102	276	129	433	165	784
HHEX	1.216817	1.521593	2.321162	2.051337	4.441752	6.240492	3.206903	6.069096	2.361588907	77.26484426	0.311988666	3.973727209	7.07566E-05	0.000242765	5.519195609	6.763792622	5.55215122	5.77475905	5.96130116	5.9827145	6.40764683	6.66418595	6.15126116	6.6457751	24	49	59	52	85	112	81	176
HIF1A	128.198444	199.432974	123.20829	197.705971	284.180557	222.36185	307.291565	224.642746	1.347376661	11265.99554	0.277954615	1.547566371	0.121726733	0.182113552	13.22862371	13.65880152	13.03836478	13.52448462	13.00735538	13.52468219	13.64878661	13.40243802	13.72784409	13.42780909	5726	14400	7103	11337	12280	9015	17666	14963
HIP1	13.060252	6.512953	13.166615	6.947693	8.125376	4.741398	8.356792	5.679085	-1.685222706	901.0320028	0.296378728	-2.540463222	0.011070574	0.022716648	10.14343026	9.390227277	10.1844019	9.69660397	10.19298376	9.74765676	9.70344416	9.24802685	9.72652618	9.38665485	1171	945	1525	790	706	388	956	750
UBE2K	17.795139	30.194837	20.273874	29.80522	30.965377	39.911757	31.453243	36.668668	1.185939827	2057.546825	0.262053402	0.938857534	0.347803895	0.438436601	10.87833108	11.12459187	10.58235622	11.14490637	10.68765569	11.13028064	10.97808114	11.17413074	10.99644973	11.09455129	1031	2843	1520	2201	1739	2118	2341	3118
HINT1	363.966085	340.734806	399.468537	347.139414	445.625335	468.877033	484.501415	472.109304	1.117450681	3850.123772	0.070320831	2.278288766	0.022709379	0.042601636	11.82830428	11.98862243	11.80401683	11.86833672	11.88922302	11.88030811	11.93317184	11.94517318	11.99289062	11.95237747	2810	4258	4011	3399	3404	3357	4806	5455
HIVEP1	3.191055	3.761364	2.758143	3.680475	4.484649	2.300432	3.972515	2.501671	-1.189386781	400.0189942	0.292222345	-0.856258772	0.391854661	0.483556166	8.763296143	8.513777948	8.5885316	8.85220564	8.46948267	8.82829762	8.81815348	8.24440211	8.71345194	8.30923349	316	603	353	462	430	208	502	365
HIVEP2	7.275678	6.442947	7.864299	6.55037	8.732621	3.632672	8.286101	3.677685	-1.341380747	861.3469902	0.339965924	-1.246356679	0.212633478	0.292125722	9.946698592	9.523240555	9.81197596	9.83024142	9.88138937	9.84069259	9.91017277	9.1652525	9.86263401	9.17645358	789	1131	1102	901	918	359	1146	588
HK1	65.833199	90.812616	63.572063	89.595589	104.105472	93.563171	103.177817	89.33423	1.059457377	4210.910633	0.217377426	0.383321991	0.701481035	0.772441907	11.99759125	12.08103542	11.80122918	12.19566487	11.77338783	12.180657	12.12683712	12.005874	12.11723128	11.96827367	2643	5895	3296	4562	4040	3416	5265	5267
HK2	0.371435	5.060635	0.803632	4.830035	16.259748	18.05925	15.121606	17.62315	4.881095488	884.6792276	0.709344791	3.224391023	0.001262409	0.003272569	8.232545227	10.52020864	7.60577098	9.17608119	7.88122027	9.13423802	10.0351338	10.10425221	9.96558976	10.08426207	30	648	83	485	1246	1302	1526	2054
ZBTB48	4.576458	2.488919	4.183403	2.127696	3.446747	3.121442	3.884883	3.50246	-1.094070033	106.841241	0.249732087	-0.519376951	0.603497901	0.684433318	6.804880891	6.670647505	6.97584745	6.60787896	6.90602329	6.49029758	6.695399	6.5947266	6.7858201	6.68429285	120	106	142	71	88	75	130	136
HLA-A	143.065207	111.052581	135.662458	103.917561	463.348816	218.019559	420.351891	198.293014	2.27693407	4682.718192	0.315509586	3.762461015	0.00016825	0.000536445	11.48076534	12.66788451	11.78788219	11.69870112	11.74575384	11.64299924	12.76920427	12.05268702	12.67557155	11.97437784	2570	3229	3148	2368	8064	3570	9631	5248
HLA-B	38.296318	38.186954	38.176769	39.308994	215.836823	67.834869	211.995834	65.20739	3.127250195	1857.404923	0.436437124	3.768915511	0.000163958	0.000524251	9.813838626	11.45880338	10.07826744	10.18609045	10.07644335	10.20536207	11.53970499	10.45161656	11.52138879	10.42104615	688	1111	886	896	3756	1111	4857	1726
HLA-C	119.226625	102.82064	116.51034	102.851855	86.740181	39.879944	135.175491	60.23756	-1.591193355	2057.007736	0.356352094	-1.880469255	0.060044153	0.099312587	11.30289657	10.63259934	11.1586301	11.15330576	11.1386388	11.14999591	10.8210065	10.19549005	11.20634073	10.50214699	2109	2943	2661	2308	1486	643	3049	1570
MNX1	0.200445	0.048941	0.153962	0.127458	0.700758	1.08998	0.408358	0.85095	5.155514725	12.72754131	0.552493393	4.282614961	1.8471E-05	7.09604E-05	2.073287002	4.409162693	3.21027808	2.91369377	3.1217288	3.11001056	3.76968795	4.04238586	3.50740895	3.87753557	5	2	5	4	17	25	14	31
HLA-E	107.054543	46.326775	104.930595	44.078526	142.86174	61.026714	140.480896	62.009392	1.18547149	3099.882494	0.414406165	0.592319776	0.553636476	0.638493294	11.47006494	11.71550437	11.74844479	11.16043899	11.7311154	11.11798284	11.94546204	11.18331658	11.92925909	11.19849223	3178	2226	4022	1660	4108	1651	5318	2712
HLA-F	3.650347	3.041888	3.90988	3.605892	4.890769	1.223632	5.992011	0.809928	-1.20321891	64.21381804	0.569124088	-0.468964768	0.639094819	0.717102578	6.131469331	5.865955303	6.0929021	5.89881748	5.98466091	6.02648516	6.270546	5.28865581	6.25995305	5.05626227	65	71	73	66	84	20	109	21
HLA-H	16.061525	13.443714	15.735114	11.782052	49.124592	22.616802	45.53561	22.552071	2.11475683	545.6849274	0.31463604	3.4341005	0.000594524	0.001664478	8.452590066	9.533398183	8.71763261	8.6878327	8.70128936	8.58376781	9.63049687	8.90993244	9.55931566	8.91023842	306	414	387	285	905	392	1105	632
HLA-L	0.113774	0.068339	0.029466	0.043204	0.019638	0.103967	0.138373	0.246174	1.77095604	5.954522883	0.79023664	1.043394293	0.296765716	0.385038487	2.136101916	2.909450239	2.56702034	2.45142591	2.22815646	2.33377081	2.18395234	2.49843817	2.65115542	2.88599803	6	6	2	3	1	5	10	19
MR1	12.258289	1.515504	6.512718	1.664414	3.472151	0.63546	3.369802	0.693223	-2.922791145	391.8151974	0.748816426	-2.066389957	0.038791673	0.068020313	9.189513294	7.642097777	9.52703926	7.76107875	8.9174514	7.84077026	8.27440521	7.05999606	8.26002435	7.08415483	1051	210	729	183	291	52	377	89
HLCS	5.502764	6.875585	5.783056	6.6437	7.897947	5.221296	7.887491	5.53049	-1.061845577	589.2181673	0.219488474	-0.394435163	0.693259788	0.765422965	9.245097344	9.158932507	9.08271396	9.28512595	9.12573023	9.36120639	9.32965714	8.95635281	9.3282531	9.00381132	426	760	579	653	593	369	780	631
HLX	8.632324	3.086388	7.723017	3.746271	0.310784	0.666723	0.511475	1.012516	-10.26811693	102.1949054	0.430293561	-7.808854303	5.77102E-15	7.76698E-14	7.54294135	4.162009022	7.27670261	6.45764991	7.1713838	6.6236457	4.95179774	5.24831251	5.11644356	5.44542845	220	127	254	121	8	16	17	38
HMBS	4.576251	8.786304	3.547754	6.91427	29.525445	34.863546	26.784303	34.102806	4.304939921	355.2668951	0.327889693	6.422870701	1.33728E-10	1.1141E-09	7.063582774	9.171843283	7.33904825	7.89342558	7.18138944	7.70328305	8.7293966	8.85126332	8.66128969	8.85772378	78	240	78	147	471	522	576	846
HMGB1	55.73382	44.316684	56.536568	55.499929	43.860164	66.831875	45.821823	94.076393	1.006466946	3284.473275	0.26019408	0.035741753	0.971488278	0.97981532	11.67691904	11.68595942	11.65046177	11.57648148	11.66328332	11.76807332	11.39182094	11.71664156	11.42648392	12.02368531	2656	3418	3479	3362	2026	2902	2786	6603
HMGB2	40.119558	37.407278	37.788939	36.058102	61.181016	152.008771	61.953028	147.070892	2.357801207	1378.505292	0.327775868	3.775269041	0.000159835	0.00051226	9.681397205	10.91880378	9.91809532	9.98461532	9.87919582	9.94756437	10.22086237	10.98643031	10.23233193	10.96574341	666	1017	818	764	1004	2281	1341	3596
HMGB3	11.453582	10.209117	10.47873	11.064253	33.191446	37.74996	33.20735	38.989328	2.80450476	1079.712087	0.114818673	12.95735259	2.13489E-38	1.17229E-36	9.149185036	10.63630326	9.46666705	9.510156	9.40019005	9.56977191	10.3061967	10.39679525	10.30647105	10.42808206	456	678	539	576	1290	1385	1700	2308
