B_KM_2 B_KM_3
attractor1360 2 1
attractor1361 1 3
attractor1362 1 2
attractor1363 1 2
attractor1364 1 2
attractor1365 2 1
attractor1366 1 2
attractor1367 1 2
attractor1368 2 1
attractor1369 2 1
attractor1370 1 2
attractor1371 1 2
attractor1372 1 3
attractor1373 1 2
attractor1374 1 2
attractor1375 1 3
attractor1376 1 2
attractor1377 1 3
attractor1378 1 3
attractor1379 1 2
attractor1380 1 2
attractor1381 1 2
attractor1382 2 1
attractor1383 1 2
attractor1384 1 2
attractor1385 1 2
attractor1386 1 3
attractor1387 1 2
attractor1388 1 2
attractor1389 2 1
attractor1390 1 2
attractor1391 1 2
attractor1392 2 1
attractor1393 1 2
attractor1394 1 2
attractor1395 1 2
attractor1396 1 2
attractor1397 1 2
attractor1398 1 2
attractor1399 1 2
attractor1400 2 1
attractor1401 1 3
attractor1402 1 3
attractor1403 1 3
attractor1404 1 2
attractor1405 1 3
attractor1406 1 2
attractor1407 1 2
attractor1408 1 2
attractor1409 1 2
attractor1410 1 2
attractor1411 1 3
attractor1412 1 2
attractor1413 2 1
attractor1414 1 3
attractor1415 2 1
attractor1416 1 2
attractor1417 1 2
attractor1418 1 2
attractor1419 1 3
attractor1420 1 2
attractor1421 2 1
attractor1422 1 2
attractor1423 1 3
attractor1424 2 1
attractor1425 2 1
attractor1426 1 2
attractor1427 2 1
attractor1428 2 1
attractor1429 2 1
attractor1430 1 2
attractor1431 1 2
attractor1432 1 2
attractor1433 1 2
attractor1434 2 1
attractor1435 1 2
attractor1436 2 1
attractor1437 2 1
attractor1438 1 3
attractor1439 1 2
attractor1440 2 1
attractor1441 1 2
attractor1442 1 3
attractor1443 1 2
attractor1444 1 2
attractor1445 1 3
attractor1446 1 2
attractor1447 1 2
attractor1448 1 2
attractor1449 1 3
attractor1450 1 3
attractor1451 1 2
attractor1452 1 2
attractor1453 1 3
attractor1454 1 2
attractor1455 1 2
attractor1456 2 1
attractor1457 1 3
attractor1458 1 3
attractor1459 1 2
attractor1460 1 3
attractor1461 1 2
attractor1462 1 2
attractor1463 1 2
attractor1464 1 3
attractor1465 1 2
attractor1466 1 2
attractor1467 1 2
attractor1468 1 2
attractor1469 1 2
attractor1470 2 1
attractor1471 1 2
attractor1472 2 1
attractor1473 2 1
attractor1474 1 2
attractor1475 1 2
attractor1476 1 2
attractor1477 1 2
attractor1478 2 1
attractor1479 2 1
attractor1480 2 1
attractor1481 1 3
attractor1482 1 2
attractor1483 1 3
attractor1484 1 2
attractor1485 2 1
attractor1486 1 2
attractor1487 2 1
attractor1488 1 2
attractor1489 1 2
attractor1490 1 2
attractor1491 1 3
attractor1492 1 2
