TF,symbol,gene
V.NFKB_Q6_01,RELA,ANAPC10
V.NFKB_Q6_01,RELA,TGFA
V.NFKB_Q6_01,RELA,FZR1
V.NFKB_Q6_01,RELA,NFKB1
V.NFKB_Q6_01,RELA,SNRPA
V.NFKB_Q6_01,RELA,CREBBP
V.NFKB_Q6_01,RELA,CDC27
V.NFKB_Q6_01,RELA,MAD2L1
V.NFKB_Q6_01,RELA,YWHAG
V.NFKB_Q6_01,RELA,HDAC1
V.NFKB_Q6_01,RELA,PSMC2
V.NFKB_Q6_01,RELA,BRCA1
V.NFKB_Q6_01,RELA,IL4R
V.NFKB_Q6_01,RELA,NMT2
V.NFKB_Q6_01,RELA,MOCOS
V.NFKB_Q6_01,RELA,TBP
V.NFKB_Q6_01,RELA,SKIL
V.NFKB_Q6_01,RELA,DDX5
V.NFKB_Q6_01,RELA,TOP2A
V.NFKB_Q6_01,RELA,SNRNP70
V.NFKB_Q6_01,RELA,PRKCA
