ID	#Yes sites per 1K	#No sites per 1K	Adj. site FE	Site P-value	Site FDR	Site cutoff	%Yes seq	%No seq	Adj. seq FE	Seq P-value	Seq FDR	Seq cutoff
V$MATH1_Q2	0.12832263978001834	0.04646310196116529	1.1816741093700953	9.207797247784837E-4	0.002911700915254374	0.9845154845154845	32.0	14.285714285714286	1.0368480627768364	9.714093370087389E-4	0.04960152412919184	0.9705294705294706
V$MAZR_01	1.6237745098039216	1.0228889943074004	1.0680030401284992	2.360775452791018E-9	7.677136262958946E-8	0.885785536159601	100.0	94.93087557603687	0.6487638805327594	0.03570689254377573	0.12498485958948798	0.7950124688279302
V$MAZ_02	1.6682113067655235	0.9481385307269489	1.1824824658211022	7.118446355678235E-13	7.002187344021652E-11	0.8179089544772387	100.0	99.53917050691244	0.6197391984576991	0.0049256333719876295	0.0619143658775485	0.6688344172086043
V$MAZ_03	2.106889094840902	1.3410608047219008	1.0686345435953732	3.603782804604981E-11	2.0366621073403488E-9	0.8031968031968032	64.0	41.935483870967744	0.8646859120085633	6.091181161248774E-4	0.04488198169573305	0.8386613386613386
V$MAZ_04	1.9841269841269842	1.2955554430208809	1.0401638229144787	8.124193016967426E-10	3.085411622447286E-8	0.88055972013993	100.0	99.07834101382488	0.6225242093028966	0.11051814999535606	0.2140591608901725	0.7551224387806097
V$MAZ_Q5	4.532110091743119	3.067264194816725	1.027002046546797	1.7911888412659624E-17	3.723753658931845E-15	0.8692614770459082	100.0	100.0	0.6169790090731271	0.0012689700443391369	0.05104162540369424	0.7739520958083832
V$MAZ_Q6	2.976517230863068	2.0343113487168027	1.0076413467600482	1.2698983380366461E-11	8.400088892853768E-10	0.8710644677661169	100.0	97.6958525345622	0.6310315664078215	0.008130543658243542	0.06899110005048929	0.8290854572713643
V$MAZ_Q6_01	0.4661146887457835	0.22681120404953387	1.2275414370328035	2.1710645554877268E-6	2.7177993069879694E-5	0.9340988517224164	100.0	99.07834101382488	0.6225242093028966	0.007307594061188986	0.06703049326619165	0.7843235147279082
V$MEOX1_02	0.3177512985029025	0.13938930588349588	1.269330290235817	1.1468204335908162E-5	9.817120211664913E-5	0.9590614078881677	100.0	99.07834101382488	0.6225242093028966	0.004957738467474929	0.06192917514843683	0.7139291063404892
V$MEOX2_01	0.3177512985029025	0.13516538752338994	1.3052560161829285	6.3171171424035855E-6	6.329077260917603E-5	0.9724448897795591	100.0	99.53917050691244	0.6197391984576991	0.00368970258512982	0.05723098642618418	0.7875751503006012
V$MEOX2_04	0.2012808783165599	0.0779995024896598	1.2798494625576884	8.861007611541377E-5	4.879841561663421E-4	0.9995002498750625	100.0	99.53917050691244	0.6197391984576991	0.0064794849390694825	0.06617268556118812	0.7101449275362319
V$MIXA_01	0.39755351681957185	0.1712256373398723	1.3425107547433857	6.46660767655655E-7	1.0118850345493462E-5	0.8729364682341171	98.66666666666667	98.61751152073732	0.616306952792122	0.003100400363538054	0.056673439534842315	0.6823411705852926
V$MIXL1_01	0.31164069660861593	0.13516538752338994	1.2777393949091362	1.116636296906956E-5	9.817120211664913E-5	0.993993993993994	100.0	99.53917050691244	0.6197391984576991	0.005678502907074842	0.06356647196554356	0.7562562562562563
V$MIZ1_01	3.918669131238447	2.527747727795429	1.0738965656945283	2.0121658008381142E-18	5.856408563339332E-16	0.7786106946526736	100.0	97.6958525345622	0.6310315664078215	0.023242551596924056	0.10285755231868249	0.7401299350324838
V$MIZ1_02	7.89279112754159	5.283354770564835	1.0464026175083314	2.762412435173902E-30	1.6080002785147283E-26	0.7417417417417418	100.0	96.7741935483871	0.6368335802151256	0.05469178056267599	0.15291107332148748	0.7182182182182182
V$MNX1_02	0.3177512985029025	0.13516538752338994	1.3052560161829285	6.3171171424035855E-6	6.329077260917603E-5	0.9715284715284715	100.0	99.53917050691244	0.6197391984576991	0.007554029132901859	0.06703049326619165	0.7717282717282717
V$MOX1_01	0.10445468509984639	0.02123638216993353	1.665601105296967	4.9065194844140366E-5	3.0416240595073594E-4	0.9480778831752371	100.0	99.53917050691244	0.6197391984576991	0.0012212927189355416	0.05077960654945563	0.617573639540689
V$MSX1_02	0.1966205837173579	0.072203699377774	1.3293652804108975	5.7043399268975625E-5	3.4682598200545085E-4	0.9515484515484516	100.0	100.0	0.6169790090731271	0.008434088828459212	0.06962635037981367	0.6278721278721279
V$MSX2_Q6	0.29859841560024375	0.1116268881793444	1.4486308818881888	1.0053081502230874E-6	1.4593263696879281E-5	0.992	100.0	99.53917050691244	0.6197391984576991	0.007554029132901859	0.06703049326619165	0.7805
V$MZF1_01	0.6709362610551998	0.4047541750814779	1.046249190590878	2.4449512416324964E-5	1.7836985961206886E-4	0.9930034982508745	100.0	98.61751152073732	0.6253343781185136	0.014853714280314926	0.08476810865265999	0.8515742128935532
V$MZF1_Q5_01	0.6293919951115184	0.3167938770079452	1.235319175536119	1.2968145833450604E-7	2.5502559762336476E-6	0.973026973026973	65.33333333333333	38.70967741935484	0.9529282616306575	4.14909218933029E-5	0.04358951407940118	0.9775224775224776
V$NEUROD2_03	0.2322028719828903	0.11615775490291323	1.0572289648499982	9.868377878223696E-4	0.0030490354367908776	0.9264632316158079	100.0	100.0	0.6169790090731271	0.0021469394075108246	0.053494218952914604	0.768384192096048
V$NFAT2_02	0.2324159021406728	0.07610028326216547	1.5340226238189212	2.086286350367249E-6	2.6173001822171888E-5	0.8658658658658659	100.0	100.0	0.6169790090731271	0.002731907142039793	0.05516123833102547	0.6786786786786787
V$NFATC1_03	0.3802514566084023	0.18229685559121414	1.2068023737233835	1.2791081131180167E-5	1.0728657530922154E-4	0.7442557442557443	100.0	100.0	0.6169790090731271	0.007112975528237728	0.06703049326619165	0.5804195804195804
V$NFE4_Q5	0.7591062136516682	0.46971601223800635	1.0326967970299044	1.8890625206981296E-5	1.4661643910645085E-4	0.9120439780109945	100.0	97.23502304147465	0.6339192900312057	0.03180302037937966	0.11814000103916338	0.8210894552723638
V$NFKB1_04	0.2757352941176471	0.12918473841149364	1.162478181216126	1.2686531333830787E-4	6.478958780708042E-4	0.9264264264264265	100.0	99.53917050691244	0.6197391984576991	0.007725634652923244	0.06722110510413483	0.7567567567567568
V$NFKB1_05	0.2757352941176471	0.12918473841149364	1.162478181216126	1.2686531333830787E-4	6.478958780708042E-4	0.9264264264264265	100.0	99.53917050691244	0.6197391984576991	0.007725634652923244	0.06722110510413483	0.7567567567567568
V$NFKB2_01	0.40441176470588236	0.19060043372187585	1.2383416776653695	4.621352750094919E-6	4.935943918954591E-5	0.8491508491508492	100.0	99.07834101382488	0.6225242093028966	0.016021418003136015	0.08885592416825941	0.6573426573426573
V$NFKB2_02	0.3363914373088685	0.17756732761171945	1.0821148006269592	2.3247936742999136E-4	0.0010275340909718905	0.8789394697348675	100.0	97.6958525345622	0.6310315664078215	0.0051211497611238915	0.06216144405485488	0.7618809404702351
V$NFKB2_03	0.3363914373088685	0.17756732761171945	1.0821148006269592	2.3247936742999136E-4	0.0010275340909718905	0.8789394697348675	100.0	97.6958525345622	0.6310315664078215	0.0051211497611238915	0.06216144405485488	0.7618809404702351
V$NGN2_Q3	0.08602150537634409	0.016989105735946825	1.5395715670210697	1.9672901423735227E-4	9.11751267416901E-4	0.9840399002493766	17.333333333333332	3.686635944700461	1.412819937790846	2.911734092327377E-4	0.044445350201223914	0.9840399002493766
V$NKX12_01	0.31365313653136534	0.14666621320591086	1.1932875417200843	4.536633711614623E-5	2.8704070473161656E-4	0.9021467798302546	100.0	99.53917050691244	0.6197391984576991	0.00990036540983845	0.07288428354166239	0.6879680479281078
V$NKX61_02	0.31336405529953915	0.15077831340652806	1.162560101718738	7.614499785948705E-5	4.3497549807661835E-4	0.8565	100.0	100.0	0.6169790090731271	0.0019836220278649334	0.05163094977202914	0.6225
V$NKX61_03	0.4920049200492005	0.23594129950516096	1.2533147390469563	7.974369604839656E-7	1.2063418681754893E-5	0.84007996001999	100.0	99.53917050691244	0.6197391984576991	0.009023891487764309	0.07098388155442709	0.5847076461769115
V$NKX61_07	0.3720646538578835	0.1581070996412023	1.3447916596820255	1.0318204889691704E-6	1.4912401930337932E-5	0.9624812406203102	100.0	99.53917050691244	0.6197391984576991	0.007386617536371973	0.06703049326619165	0.6773386693346674
V$NKX62_01	0.43915827996340345	0.20659327686450432	1.2570426327289455	1.6812982332200627E-6	2.21421651936063E-5	0.9824737105658488	62.666666666666664	41.013824884792626	0.8623998579451687	9.330115508554966E-4	0.048753604978994544	0.972458688032048
V$NKX62_Q2	0.23262932353841445	0.10579189464819963	1.1513028800518268	2.704004561912225E-4	0.0011522701723931962	0.9755366949575637	38.666666666666664	19.35483870967742	0.9901891413177741	9.060889227618897E-4	0.04847299237898776	0.9755366949575637
V$NKX63_01	0.5289052890528906	0.25294607784787526	1.2686735187298883	2.9239227077664564E-7	5.220906160094645E-6	0.8666999500748876	100.0	99.53917050691244	0.6197391984576991	0.009422222582651777	0.07149960574427747	0.6285571642536195
V$NOTO_01	0.5560647723800795	0.29356232602736254	1.1637986759307766	2.809394850714096E-6	3.3327121203576826E-5	0.9375624375624375	100.0	99.53917050691244	0.6197391984576991	0.0018015322347895706	0.05104162540369424	0.7537462537462537
V$NR2F6_01	0.15946028825513647	0.0657116572479958	1.13650635271736	8.933738747227306E-4	0.0028588946260368416	0.7816091954022989	100.0	97.6958525345622	0.6310315664078215	0.007452638455355979	0.06703049326619165	0.6471764117941029
V$OCT1_03	0.5637254901960784	0.30707847655191106	1.1311815328762687	6.268769978075746E-6	6.302333340652663E-5	0.983983983983984	100.0	99.53917050691244	0.6197391984576991	0.02983368998245606	0.11519696133445453	0.7867867867867868
V$OCT1_08	0.6451612903225806	0.29093843572808936	1.3739923743919091	1.768186752554166E-9	6.01907315006889E-8	0.8584292146073037	38.666666666666664	19.35483870967742	0.9901891413177741	9.060889227618897E-4	0.04847299237898776	0.8699349674837419
V$OCTAMER_02	0.46740467404674046	0.19768054823405376	1.3988974353160766	4.6470251925467684E-8	1.0904783959811283E-6	0.8364182091045522	100.0	100.0	0.6169790090731271	0.001728546205235394	0.05104162540369424	0.5297648824412207
V$OG2_01	0.4809741248097412	0.2903857079729815	1.0069158460520498	3.1410501595130046E-4	0.001304140726000371	0.9790314528207689	100.0	99.53917050691244	0.6197391984576991	0.14849158446499078	0.2473868097225848	0.6854717923115327
