leuk_attr apop_attr Hamming_Distance Percent_accuracy
is_000609 is_027614 0.25 75.0
is_000609 is_027717 0.625 37.5
is_000609 is_027825 0.625 37.5
is_000609 is_027840 0.625 37.5
is_000609 is_027882 0.125 87.5
is_000609 is_027960 0.75 25.0
is_000609 is_028035 0.125 87.5
is_000609 is_028069 0.5 50.0
is_000609 is_028087 0.25 75.0
is_000609 is_028103 0.25 75.0
is_000609 is_028116 0.375 62.5
is_000609 is_028286 0.375 62.5
is_000609 is_028290 0.25 75.0
is_000609 is_028308 0.25 75.0
is_000609 is_028592 0.5 50.0
is_000609 is_028691 0.5 50.0
is_000609 is_028856 0.25 75.0
is_000609 is_028901 0.375 62.5
is_000609 is_028953 0.625 37.5
is_000609 is_029080 0.5 50.0
is_000609 is_029127 0.25 75.0
is_000609 is_029222 0.375 62.5
is_000609 is_029223 0.5 50.0
is_000609 is_029304 0.375 62.5
is_000609 is_029321 0.375 62.5
is_000609 is_029390 0.5 50.0
is_000609 is_029398 0.5 50.0
is_000609 is_029510 0.25 75.0
is_000609 is_029667 0.375 62.5
is_000609 is_029675 0.625 37.5
is_000609 is_029736 0.75 25.0
is_000609 is_029737 0.25 75.0
is_000609 is_029829 0.5 50.0
is_000609 is_029866 0.375 62.5
is_000609 is_029927 0.375 62.5
is_000609 is_030023 0.5 50.0
is_000609 is_030259 0.375 62.5
is_000609 is_030390 0.375 62.5
is_000609 is_030411 0.5 50.0
is_000609 is_030524 0.125 87.5
is_000609 is_030732 0.375 62.5
is_000609 is_030848 0.25 75.0
is_000609 is_031025 0.875 12.5
is_000609 is_031301 0.625 37.5
is_000609 is_031385 0.875 12.5
is_000609 is_031563 0.5 50.0
is_000609 is_031599 0.375 62.5
is_000609 is_031686 0.375 62.5
is_000609 is_031908 0.25 75.0
is_000609 is_031956 0.25 75.0
is_000609 is_032033 0.375 62.5
is_000609 is_032042 0.625 37.5
is_000609 is_032128 0.0 100.0
is_000609 is_032148 0.25 75.0
is_000609 is_032284 0.25 75.0
is_000609 is_032329 0.0 100.0
is_000609 is_032438 0.5 50.0
is_000609 is_032506 0.375 62.5
is_000609 is_032586 0.25 75.0
is_000609 is_032637 0.25 75.0
is_000609 is_032653 0.375 62.5
is_000609 is_032771 0.125 87.5
is_000609 is_032792 0.25 75.0
is_000609 is_032861 0.125 87.5
is_000609 is_032952 0.125 87.5
is_000609 is_033036 0.25 75.0
is_000609 is_033201 0.25 75.0
is_000609 is_033369 0.375 62.5
is_000609 is_033377 0.625 37.5
is_000609 is_033424 0.25 75.0
is_000609 is_033445 0.375 62.5
is_000609 is_033529 0.25 75.0
is_000609 is_033536 0.375 62.5
is_000609 is_033547 0.625 37.5
is_000609 is_033548 0.375 62.5
is_000609 is_033555 0.125 87.5
is_000609 is_033596 0.25 75.0
is_000609 is_033610 0.375 62.5
is_000609 is_033616 0.25 75.0
is_000609 is_033686 0.375 62.5
is_000609 is_033703 0.375 62.5
is_000609 is_033747 0.5 50.0
is_000609 is_033852 0.25 75.0
is_000609 is_033895 0.25 75.0
is_000609 is_033952 0.5 50.0
is_000609 is_034059 0.375 62.5
is_000609 is_034196 0.625 37.5
is_000609 is_034246 0.25 75.0
is_000609 is_034385 0.75 25.0
is_000609 is_034430 0.375 62.5
is_000609 is_034446 0.0 100.0
is_000609 is_034485 0.125 87.5
is_000609 is_034581 0.375 62.5
is_000609 is_034648 0.875 12.5
is_000609 is_034695 0.5 50.0
