Gene_Symbol	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4
ANXA1	12.42370681	12.90770055	12.53572044	12.52835018	12.5116432	12.51662501	12.69916974	12.93889502	12.68756295	12.89386241
ANXA2	14.99027199	14.16927127	14.55013034	15.04254717	14.53504745	15.02733463	14.12329713	14.32962694	14.15183546	14.62420492
ANXA2P1	7.330120205	6.515006182	6.88427661	7.41462745	6.78293501	7.34625913	6.58582506	6.77220418	6.57103179	6.81551571
ANXA2P2	11.94937618	10.99836503	11.49633253	11.9688678	11.49263733	11.96940156	11.09638499	11.28274133	11.1018055	11.27872768
ANXA2P3	7.942111912	6.403497921	7.23654044	7.84591353	7.35152309	7.91143534	6.59957433	6.86451579	6.70394234	6.87042678
ANXA3	7.460257497	10.80372658	7.82536746	8.67477582	7.62502876	8.62880149	10.27700014	10.14857594	10.28662814	10.18946476
ANXA4	10.14336547	9.556869464	10.019339	10.00550899	9.80755458	10.20735077	9.90691257	9.48470134	9.74056666	9.49924003
ANXA5	13.74186206	13.4631595	13.17681943	13.95948373	13.18958493	13.99768056	13.53727022	13.39796953	13.58933412	13.43841202
ANXA6	9.952022598	11.85547615	10.25438899	10.51456117	10.25281587	10.50409873	11.71193566	11.30040006	11.59762414	11.37562362
ANXA7	10.40145703	10.84019137	10.36734088	10.59793534	10.37235914	10.60239926	10.70103154	10.75409045	10.76953381	10.77824736
ANXA11	10.8613102	11.25055767	11.03039802	10.95814535	11.01220651	10.71489556	11.15715264	11.14633765	11.39235836	10.90292855
AOX1	11.24518611	10.39931497	10.99945666	11.14147434	11.02041774	11.10370213	10.2124254	10.79986555	10.22633875	10.84476319
APAF1	8.89061164	8.532874054	8.67429917	8.91226025	8.69365245	8.90998747	8.26959091	8.76371982	8.32929126	8.87939768
NUDT2	7.431632638	7.566531263	7.4817134	7.42340909	7.54928317	7.36877958	7.46600199	7.63896856	7.36882548	7.63647938
APBB1	7.484034103	7.002739337	7.65242342	7.18864639	7.44471431	7.11478148	7.19513433	7.00140047	7.13745509	7.06559095
APBB2	12.71330095	10.86906699	12.2504219	12.4761032	12.27361879	12.50067736	11.31601574	11.23647327	11.35587641	11.26792089
APC	9.687903346	9.302796025	9.55214107	9.66584906	9.54979807	9.66314647	9.36209649	9.43793926	9.3117015	9.41944337
APEH	9.733566452	9.699220227	9.64499598	9.83758464	9.57920618	9.81100449	9.74652599	9.69825591	9.75268056	9.61146577
APEX1	11.17935631	11.28828657	11.47947679	10.79565082	11.44765382	10.73429696	10.90470505	11.11366631	11.30786375	11.52418901
BIRC2	10.00296873	10.39690184	10.03734674	10.05278147	10.07470613	10.10493291	9.93253916	10.60593054	9.91840747	10.54639362
BIRC3	8.743833011	12.44375633	9.78960595	9.62042166	9.88983101	9.63926705	12.09496284	11.7889423	11.67978648	11.80669161
XIAP	9.993603214	9.954942517	9.92130855	9.98028419	9.98858031	10.02928562	9.75297909	9.89960228	10.20839042	9.9142735
BIRC5	8.479599404	10.42833217	8.9633622	8.96391546	8.93374061	8.78625655	9.58620073	10.37948349	9.61230243	10.37241667
APLP1	8.364427655	4.967481318	7.55396547	8.08908543	7.30544712	7.98647738	6.08791917	5.9115503	6.02825481	5.7332335
APLP2	13.90819379	13.50434481	13.87778829	13.77477637	13.88224677	13.76757578	13.68804955	13.55099675	13.63651346	13.45624397
APOC1	4.581426648	6.523613851	4.51896732	5.30471899	4.64393115	5.29231121	6.49505433	5.09107794	6.49468255	5.08331154
APP	13.43554321	12.91364512	13.50755152	13.32465991	13.3004045	13.12442572	13.19762895	12.89794401	13.19075696	12.66846738
APRT	9.019138748	9.35245039	8.95420471	9.22408677	8.92109856	9.20580795	9.34453675	9.2327964	9.34447563	9.19403086
FAS	9.612010153	6.328543172	8.81805898	9.21582535	8.88122151	9.2606395	7.09779994	7.3362087	7.01443893	7.37206713
SHROOM2	7.200972796	9.463792021	7.61320764	7.86051118	7.68734814	7.84371153	8.82451028	9.25450951	8.8139027	9.23787589
AQP1	6.162277945	5.171081999	5.28911992	6.32578812	5.33123937	6.16523844	5.58774298	5.0671573	5.51444839	5.24589205
AQP3	5.898665594	7.801884421	6.64558912	6.02736146	6.57108986	5.85106013	7.61941074	6.86074648	7.82545279	6.93048093
AR	3.456995817	6.967228071	4.92616671	4.28536552	4.8075514	4.1998806	6.67659256	5.77188925	6.60654511	5.87347993
ARAF	9.405293149	10.27777323	9.67406882	9.58216567	9.60633084	9.50498289	10.240188	10.03549422	10.15722626	9.97524408
ARCN1	11.89177005	12.33016925	11.83048507	12.30317914	11.56817791	12.03977047	12.23619611	12.21441505	12.25313111	12.22463328
TRIM23	8.15276904	8.132368079	8.19502607	8.01779923	8.3065712	8.02962583	8.14847057	7.98636008	8.22004645	8.16239374
AREG	9.099135424	12.17150568	10.03781341	9.71923896	10.0211447	9.68693079	11.51809522	11.80811309	11.47860385	11.78428781
ARF1	13.14951363	12.77342624	12.9274648	13.22202228	12.91123232	13.1873221	12.90385391	12.81731409	12.86712165	12.80029299
ARF3	11.51643976	11.12016794	11.3159984	11.54772806	11.33711201	11.52331362	11.21557026	11.20063023	11.18039337	11.20782344
ARF4	12.56732096	12.28890288	12.0409507	12.76539962	12.11526028	12.80620558	12.34707102	12.2677105	12.38351562	12.29942855
ARL4D	7.329208955	7.981377853	7.39608036	7.59374523	7.27348934	7.55478265	8.05232492	7.54370501	8.05154883	7.57269177
ARF5	10.22086291	9.64416	10.06151065	10.11113825	10.08006429	10.17143487	9.82117259	9.73423653	9.7875764	9.72203783
ARF6	11.28598001	12.18174169	11.29510362	11.63092497	11.30388287	11.61878985	12.01805155	11.98722462	12.02383537	11.99687153
ARG2	3.487452982	5.349651451	4.22686039	3.59057449	4.48790313	3.59243047	5.02731727	4.56607024	5.16475751	4.49200051
RHOA	12.49603587	12.50412026	12.23696881	12.64192256	12.31839757	12.66071983	12.33631176	12.29629639	12.86848139	12.32642896
RHOB	9.721839409	10.34172212	9.12930028	10.16792068	9.11465678	10.22096219	10.3837053	9.89801937	10.40116313	9.85300081
RHOC	11.77157025	11.25551777	11.34606368	11.90763065	11.36873896	11.87471293	11.29498098	11.42068535	11.25568541	11.42262542
RND3	9.813596861	10.31270558	9.72937367	9.91794488	10.02514669	9.96873523	10.31579783	10.12570716	10.28212254	10.10270856
RHOG	9.026071748	9.337633566	9.00386207	9.1994146	8.92463886	9.19643452	9.17066087	9.35130371	9.17552364	9.36858491
ARHGAP1	10.69244994	9.607041304	10.43402033	10.54276897	10.37891364	10.57466774	9.84446482	9.84249991	9.87389975	9.82472237
ARHGAP5	10.58204402	11.02232772	10.85828364	10.44505879	10.78803598	10.50963021	11.05166992	10.76955101	11.0777028	10.76543777
