"","TF","symbol","gene"
"211","V.BETACATENIN_Q6","CTNNB1","ITGB8"
"212","V.BETACATENIN_Q6","CTNNB1","NUF2"
"213","V.BETACATENIN_Q6","CTNNB1","SRPK1"
"214","V.BETACATENIN_Q6","CTNNB1","ATF3"
"215","V.BETACATENIN_Q6","CTNNB1","NMT2"
"216","V.BETACATENIN_Q6_01","CTNNB1","ADAM9"
"217","V.BETACATENIN_Q6_01","CTNNB1","TAF12"
"218","V.BETACATENIN_Q6_01","CTNNB1","TNIK"
"219","V.BETACATENIN_Q6_01","CTNNB1","TRIM33"
"220","V.BETACATENIN_Q6_01","CTNNB1","LRP1"
"221","V.BETACATENIN_Q6_01","CTNNB1","SNRPA"
"222","V.BETACATENIN_Q6_01","CTNNB1","LTBP3"
"223","V.BETACATENIN_Q6_01","CTNNB1","EVL"
"224","V.BETACATENIN_Q6_01","CTNNB1","COL13A1"
"225","V.BETACATENIN_Q6_01","CTNNB1","TP53"
"226","V.BETACATENIN_Q6_01","CTNNB1","ANXA1"
"227","V.BETACATENIN_Q6_01","CTNNB1","TOP2A"
"228","V.BETACATENIN_Q6_01","CTNNB1","BGN"
"229","V.BETACATENIN_Q6_01","CTNNB1","KLHL12"
"230","V.BETACATENIN_Q6_01","CTNNB1","BACE1"
"231","V.BETACATENIN_Q6_01","CTNNB1","SERPINA1"
"232","V.BETACATENIN_Q6_01","CTNNB1","TAF1B"
"233","V.BETACATENIN_Q6_01","CTNNB1","LIMK2"
"234","V.BETACATENIN_Q6_01","CTNNB1","IL7R"
"235","V.BETACATENIN_Q6_01","CTNNB1","BUB1"
"236","V.BETACATENIN_Q6_01","CTNNB1","CD55"
"237","V.BETACATENIN_Q6_01","CTNNB1","FYN"
"238","V.BETACATENIN_Q6_01","CTNNB1","AURKA"
"239","V.BETACATENIN_Q6_01","CTNNB1","PLK1"
"240","V.BETACATENIN_Q6_01","CTNNB1","ITGB8"
"241","V.BETACATENIN_Q6_01","CTNNB1","NMT2"
"242","V.BETACATENIN_Q6_01","CTNNB1","CXXC5"
"243","V.BETACATENIN_Q6_01","CTNNB1","ATF3"
"244","V.BETACATENIN_Q6_01","CTNNB1","SELPLG"
"245","V.BETACATENIN_Q6_01","CTNNB1","MEX3B"
"246","V.BETACATENIN_Q6_01","CTNNB1","CABLES2"
"247","V.BETACATENIN_Q6_01","CTNNB1","TPX2"
"248","V.CFOS_Q4","FOS","IL7R"
"249","V.CFOS_Q4","FOS","SNRPA"
"250","V.CFOS_Q4","FOS","MAPK13"
"251","V.CFOS_Q4","FOS","LTBP3"
"252","V.CFOS_Q4","FOS","SRPK1"
"253","V.CFOS_Q6","FOS","MAPK13"
"254","V.CFOS_Q6","FOS","SRPK1"
"255","V.CFOS_Q6","FOS","IL7R"
"256","V.E12_Q6","TCF3","FYN"
"257","V.E12_Q6","TCF3","KLHL12"
"258","V.E12_Q6","TCF3","EVL"
"259","V.E12_Q6","TCF3","S100A2"
"260","V.E12_Q6","TCF3","MOCOS"
"261","V.E12_Q6","TCF3","MAD2L2"
"262","V.E12_Q6","TCF3","SKIL"
"263","V.E12_Q6","TCF3","TRIM33"
"264","V.E12_Q6","TCF3","KAT2A"
"265","V.E12_Q6","TCF3","CXXC5"
"266","V.E12_Q6","TCF3","ROCK1"
"267","V.E12_Q6","TCF3","RFWD2"
"268","V.E12_Q6","TCF3","TNK2"
"269","V.E12_Q6","TCF3","RHOD"
"270","V.E12_Q6","TCF3","FBLN1"
"271","V.E12_Q6","TCF3","TGFA"
"272","V.E12_Q6","TCF3","PLK1"
"273","V.E12_Q6","TCF3","ATF3"
"274","V.E12_Q6","TCF3","SERPINA1"
"275","V.E12_Q6","TCF3","TPR"
"276","V.E12_Q6","TCF3","PTPRA"
"277","V.E12_Q6","TCF3","BUB1"
"278","V.E12_Q6","TCF3","IL7R"
"279","V.E12_Q6","TCF3","SNRPA"
"280","V.E12_Q6","TCF3","TBL1X"
"281","V.E12_Q6","TCF3","SNAP29"
"282","V.E12_Q6","TCF3","CD55"
"283","V.E12_Q6","TCF3","LIMK2"
"284","V.E12_Q6","TCF3","TOP2A"
"285","V.E2A_03","TCF3","MOCOS"
"286","V.E2A_03","TCF3","KLHL12"
"287","V.E2A_03","TCF3","RHOD"
"288","V.E2A_03","TCF3","PLK1"
"289","V.E2A_03","TCF3","PKIA"
"290","V.E2A_03","TCF3","ITGB8"
"291","V.E2A_03","TCF3","TRIM33"
"292","V.E2A_03","TCF3","KAT2A"
"293","V.E2A_03","TCF3","S100A2"
"294","V.E2A_03","TCF3","TBL1X"
"295","V.E2A_03","TCF3","FN1"
"296","V.E2A_03","TCF3","FYN"
"297","V.E2A_03","TCF3","TNK2"
"298","V.E2A_03","TCF3","TGFA"
"299","V.E2A_03","TCF3","FGF13"
"300","V.E2A_03","TCF3","FBLN1"
"301","V.E2A_03","TCF3","IL7R"
"302","V.E2A_03","TCF3","SKIL"
"303","V.E2A_03","TCF3","LIMK2"
"304","V.E2A_03","TCF3","PTPRA"
"305","V.E2A_03","TCF3","CD55"
"306","V.E2A_03","TCF3","ROCK1"
"307","V.E2A_03","TCF3","BIRC6"
"308","V.E2A_03","TCF3","BUB1"
"309","V.E2A_03","TCF3","TPR"
"310","V.E2A_03","TCF3","MAPK13"
"311","V.E2A_03","TCF3","RFWD2"
"312","V.E2A_03","TCF3","SNAP29"
"313","V.E2A_03","TCF3","CXXC5"
"314","V.E2A_03","TCF3","NDC80"
"315","V.E2A_03","TCF3","MAD2L2"
"316","V.E2A_03","TCF3","TGFB1"
"317","V.E2A_03","TCF3","ATF3"
"318","V.E2A_03","TCF3","SNRPA"
"319","V.E2A_03","TCF3","SERPINA1"
"320","V.E2A_03","TCF3","EVL"
"321","V.E2A_04","TCF3","PKIA"
"322","V.E2A_04","TCF3","NDC80"
"323","V.E2A_04","TCF3","ITGB8"
"324","V.E2A_04","TCF3","CD55"
"325","V.E2A_04","TCF3","SELPLG"
"326","V.E2A_04","TCF3","CKAP5"
"327","V.E2A_04","TCF3","KAT2A"
"328","V.E2A_04","TCF3","RHOD"
"329","V.E2A_04","TCF3","ROCK1"
"330","V.E2A_04","TCF3","TNK2"
"331","V.E2A_04","TCF3","CXXC5"
"332","V.E2A_04","TCF3","PTPRA"
"333","V.E2A_04","TCF3","FYN"
"334","V.E2A_04","TCF3","SERPINA1"
"335","V.E2A_04","TCF3","FN1"
"336","V.E2A_04","TCF3","BIRC6"
"337","V.E2A_Q2","TCF3","TPR"
"338","V.E2A_Q2","TCF3","SKIL"
"339","V.E2A_Q2","TCF3","S100A2"
"340","V.E2A_Q2","TCF3","RHOD"
"341","V.E2A_Q2","TCF3","PLK1"
"342","V.E2A_Q2","TCF3","LIMK2"
"343","V.E2A_Q2","TCF3","FBLN1"
"344","V.E2A_Q2","TCF3","FYN"
"345","V.E2A_Q2","TCF3","ITGB8"
"346","V.E2A_Q2","TCF3","EVL"
"347","V.E2A_Q2","TCF3","SNRPA"
"348","V.E2A_Q2","TCF3","TRIM33"
"349","V.E2A_Q2","TCF3","BUB1"
"350","V.E2A_Q2","TCF3","KAT2A"
"351","V.E2A_Q2","TCF3","IL4R"
"352","V.E2A_Q2","TCF3","MAD2L2"
"353","V.E2A_Q2","TCF3","CKAP5"
"354","V.E2A_Q6_01","TCF3","SERPINA1"
"355","V.E2A_Q6_01","TCF3","RRM2B"
"356","V.E2A_Q6_01","TCF3","SNAP29"
"357","V.E2A_Q6_01","TCF3","ROCK1"
"358","V.E2A_Q6_01","TCF3","CXXC5"
"359","V.E2A_Q6_01","TCF3","RHOD"
"360","V.E2A_Q6_01","TCF3","TGFB1"
"361","V.E2A_Q6_02","TCF3","CXXC5"
"362","V.E2A_Q6_02","TCF3","S100A2"
"363","V.E2A_Q6_02","TCF3","TGFB1"
"364","V.E2A_Q6_02","TCF3","CABLES2"
"365","V.E2A_Q6_02","TCF3","RHOD"
"366","V.E2A_Q6_02","TCF3","SNRPA"
"367","V.E2A_Q6_02","TCF3","SNAP29"
"368","V.E2A_Q6_02","TCF3","FYN"
"369","V.E2A_Q6_02","TCF3","TPR"
"370","V.E47_01","TCF3","EGFR"
"371","V.E47_01","TCF3","LIMK2"
"372","V.E47_01","TCF3","VIM"
"373","V.E47_01","TCF3","ICAM1"
"374","V.E47_01","TCF3","RHOD"
"375","V.E47_01","TCF3","FGF13"
"376","V.E47_01","TCF3","FN1"
"377","V.E47_01","TCF3","SKIL"
"378","V.E47_01","TCF3","TP53"
"379","V.E47_01","TCF3","S100A2"
